Sector,Jan,Feb,Mar,Apr,Jan_Feb,Feb_Mar,Mar_April,Feb_April
Total farm,37600,36600,34400,41000,0.000265957446809,0.000601092896175,-0.001918604651163,-0.00120218579235
Mining and logging,300,300,300,200,0,0,0.003333333333333,0.003333333333333
Utilities,4300,2300,2800,2500,0.004651162790698,-0.002173913043478,0.001071428571429,-0.000869565217391
Construction,18200,18300,18300,18200,-5.49450549450549E-05,0,5.46448087431694E-05,5.46448087431694E-05
Manufacturing,25900,26100,26000,24100,-7.72200772200772E-05,3.83141762452107E-05,0.000730769230769,0.000766283524904
Wholesale trade,14600,14800,14700,13500,-0.00013698630137,6.75675675675676E-05,0.000816326530612,0.000878378378378
Retail trade,39300,38800,38400,32200,0.000127226463104,0.000103092783505,0.001614583333333,0.001701030927835
Transportation and warehousing,14500,14300,14400,12700,0.000137931034483,-6.99300699300699E-05,0.001180555555556,0.001118881118881
Information,3400,3400,3400,3000,0,0,0.001176470588235,0.001176470588235
Financial,14700,14900,14900,14700,-0.000136054421769,0,0.000134228187919,0.000134228187919
Professional and business,33600,33500,33400,30100,2.97619047619048E-05,2.98507462686567E-05,0.000988023952096,0.001014925373134
Education and health,73700,74200,73900,70300,-6.7842605156038E-05,4.04312668463612E-05,0.000487144790257,0.000525606469003
Leisure and hospitality,34600,34900,34200,19100,-8.67052023121387E-05,0.000200573065903,0.004415204678363,0.004527220630373
Other,12000,12000,11700,8700,0,0.00025,0.002564102564103,0.00275
Government,75100,76600,76600,75600,-0.000199733688415,0,0.000130548302872,0.000130548302872
