R-Effective County Model Time Series for Contra Costa,,,,,,,,
COVID Assessment Tool - Downloaded on 2020-08-26,,,,,,,,
Date,CovidActNow,UCLA,LEMMA,JHU,Stanford,UCSF,Harvard,Ensemble
2020-01-31,0,0,0,2.45,0,0,0,0
2020-02-01,0,0,0,2.45,0,0,0,0
2020-02-02,0,0,0,2.45,0,0,0,2.45
2020-02-03,0,0,0,2.45,0,0,0,2.45
2020-02-04,0,0,0,2.45,0,0,0,2.45
2020-02-05,0,0,0,2.45,0,0,0,2.45
2020-02-06,0,0,0,2.45,0,0,0,2.45
2020-02-07,0,0,0,2.45,0,0,0,2.45
2020-02-08,0,0,0,2.45,0,0,0,2.45
2020-02-09,0,0,0,2.45,0,0,0,2.45
2020-02-10,0,0,0,2.45,0,0,0,2.45
2020-02-11,0,0,0,2.45,0,0,0,2.45
2020-02-12,0,0,0,2.45,0,0,0,2.45
2020-02-13,0,0,0,2.45,0,0,0,2.45
2020-02-14,0,0,0,2.45,0,0,0,2.45
2020-02-15,0,0,0,2.45,0,0,0,2.45
2020-02-16,0,0,0,2.45,0,0,0,2.45
2020-02-17,0,0,0,2.45,0,0,0,2.45
2020-02-18,0,0,0,2.45,0,0,0,2.45
2020-02-19,0,0,0,2.45,0,0,0,2.45
2020-02-20,0,0,0,2.45,0,0,0,2.45
2020-02-21,0,0,0,2.45,0,0,0,2.45
2020-02-22,0,0,0,2.45,0,0,0,2.45
2020-02-23,0,0,0,2.45,0,0,0,2.45
2020-02-24,0,0,0,2.45,0,0,0,2.45
2020-02-25,0,0,0,2.45,0,0,0,2.45
2020-02-26,0,0,0,2.45,0,0,0,2.45
2020-02-27,0,0,0,2.45,0,0,0,2.45
2020-02-28,0,0,0,2.45,0,0,0,2.45
2020-02-29,0,0,0,2.45,0,0,0,2.45
2020-03-01,0,0,0,2.45,0,0,0,2.45
2020-03-02,0,0,0,2.45,0,0,0,2.45
2020-03-03,0,0,0,2.45,0,0,0,2.45
2020-03-04,0,0,0,2.45,0,0,0,2.45
2020-03-05,1.55,0,0,2.45,0,0,0,2.3
2020-03-06,1.55,0,0,2.45,0,0,0,2.15
2020-03-07,1.54,0,0,2.45,0,0,0,2
2020-03-08,1.54,0,0,2.45,0,0,0,2
2020-03-09,1.54,0,0,2.45,0,0,0,1.99
2020-03-10,1.54,0,0,2.45,0,0,0,1.99
2020-03-11,1.53,0,0,2.45,2.51,0,0,2.14
2020-03-12,1.53,0,0,2.45,2.43,0,0,2.29
2020-03-13,1.53,0,0,1.89,2.28,0,0,2.25
2020-03-14,1.53,0,0,1.89,2.05,0,0,2.07
2020-03-15,1.52,0,3.01,1.89,1.77,0,0,1.87
2020-03-16,1.52,0,2.98,1.89,1.52,0,0,1.81
2020-03-17,1.52,0,2.91,1.89,1.33,0,0,1.75
