R-Effective County Model Time Series for Santa Clara,,,,,,,,,
COVID Assessment Tool - Downloaded on 2020-08-27,,,,,,,,,
Date,CovidActNow,covid19-projections.com,UCLA,LEMMA,JHU,Stanford,UCSF,Harvard,Ensemble
2020-01-31,0,0,0,0,2.45,0,0,0,0
2020-02-01,0,0,0,0,2.45,0,0,0,0
2020-02-02,0,0,0,0,2.45,0,0,0,2.45
2020-02-03,0,0,0,0,2.45,0,0,0,2.45
2020-02-04,0,0,0,0,2.45,0,0,0,2.45
2020-02-05,0,0,0,0,2.45,0,0,0,2.45
2020-02-06,0,0,0,0,2.45,0,0,0,2.45
2020-02-07,0,0,0,0,2.45,0,0,0,2.45
2020-02-08,0,0,0,0,2.45,0,0,0,2.45
2020-02-09,0,0,0,0,2.45,1.87,0,0,2.36
2020-02-10,0,0,0,0,2.45,1.87,0,0,2.26
2020-02-11,0,0,0,0,2.45,1.87,0,0,2.16
2020-02-12,0,0,0,0,2.45,1.87,0,0,2.16
2020-02-13,0,0,0,0,2.45,1.87,0,0,2.16
2020-02-14,0,0,0,0,2.45,1.87,0,0,2.16
2020-02-15,0,1.28,0,0,2.45,1.87,0,0,2.06
2020-02-16,0,1.28,0,0,2.45,1.87,0,0,1.97
2020-02-17,0,1.28,0,0,2.45,1.87,0,0,1.87
2020-02-18,0,1.28,0,0,2.45,1.87,0,0,1.87
2020-02-19,0,1.28,0,0,2.45,1.87,0,0,1.87
2020-02-20,0,1.28,0,0,2.45,1.87,0,0,1.87
2020-02-21,0,1.28,0,0,2.45,1.86,0,0,1.87
2020-02-22,0,1.28,0,0,2.45,1.86,0,0,1.86
2020-02-23,0,1.27,0,0,2.45,1.86,0,0,1.86
2020-02-24,0,1.27,0,0,2.45,1.86,0,0,1.86
2020-02-25,0,1.27,0,0,2.45,1.86,0,0,1.86
2020-02-26,0,1.26,0,0,2.45,1.86,0,0,1.86
2020-02-27,0,1.25,0,0,2.45,1.86,0,0,1.86
2020-02-28,0,1.24,0,0,2.45,1.86,0.85,0,1.76
2020-02-29,0,1.23,0,0,2.45,1.86,0.9,0,1.65
2020-03-01,0,1.21,0,0,2.45,1.86,0.94,0,1.55
2020-03-02,0,1.19,0,0,2.45,1.86,0.99,0,1.54
2020-03-03,2.14,1.17,0,0,2.45,1.86,1.03,0,1.64
2020-03-04,2.07,1.14,0,0,2.45,1.86,1.06,0,1.75
2020-03-05,2.01,1.11,0,0,2.45,1.86,1.1,0,1.86
2020-03-06,1.95,1.07,0,0,2.45,1.86,1.13,0,1.86
2020-03-07,1.89,1.04,0,0,2.45,1.86,1.16,0,1.86
2020-03-08,1.84,1,0,0,2.45,1.86,1.2,0,1.86
2020-03-09,1.8,0.96,0,0,2.45,1.86,1.23,0,1.83
2020-03-10,1.75,0.92,0,0,2.45,1.85,1.26,0,1.8
2020-03-11,1.72,0.89,0,0,2.45,1.83,1.29,0,1.76
2020-03-12,1.69,0.86,0,0,2.45,1.79,1.31,0,1.72
2020-03-13,1.66,0.83,0,0,1.89,1.7,1.34,0,1.69
2020-03-14,1.64,0.8,0,0,1.89,1.57,1.36,1.76,1.65
2020-03-15,1.62,0.78,0,0.88,1.89,1.41,1.38,1.32,1.55
2020-03-16,1.6,0.76,0,0.85,1.89,1.26,1.4,1.75,1.46
2020-03-17,1.58,0.74,0,0.84,1.89,1.14,1.41,1.55,1.39
2020-03-18,1.56,0.73,0,0.82,1.89,1.06,1.42,1.32,1.38
2020-03-19,1.55,0.72,0,0.81,1.89,1,1.43,1.67,1.39
2020-03-20,1.52,0.71,0,0.8,0.91,0.96,1.44,1.93,1.24
2020-03-21,1.5,0.71,0,0.8,0.91,0.94,1.44,2.02,1.11
2020-03-22,1.48,0.7,0.77,0.79,0.91,0.93,1.43,1.79,0.94
2020-03-23,1.45,0.7,0.77,0.79,0.91,0.92,1.42,1.33,0.92
2020-03-24,1.42,0.7,0.78,0.79,0.91,0.91,1.41,1.45,0.91
2020-03-25,1.39,0.7,0.78,0.78,0.91,0.9,1.38,1.93,0.91
2020-03-26,1.35,0.7,0.78,0.78,0.91,0.9,1.36,1.55,0.91
2020-03-27,1.32,0.7,0.78,0.78,0.91,0.9,1.33,1.33,0.9
2020-03-28,1.28,0.7,0.78,0.78,0.91,0.9,1.3,1.2,0.9
2020-03-29,1.24,0.7,0.78,0.78,0.91,0.9,1.26,1.08,0.9
2020-03-30,1.2,0.7,0.79,0.78,0.91,0.9,1.23,1.34,0.9
2020-03-31,1.17,0.7,0.79,0.78,0.91,0.9,1.19,1.28,0.9
2020-04-01,1.13,0.7,0.79,0.78,0.91,0.9,1.16,0.77,0.88
2020-04-02,1.1,0.7,0.79,0.78,0.91,0.9,1.12,0.89,0.88
2020-04-03,1.06,0.7,0.79,0.78,0.91,0.9,1.09,0.99,0.88
2020-04-04,1.03,0.7,0.8,0.77,0.91,0.9,1.06,0.85,0.89
2020-04-05,1,0.71,0.8,0.77,0.91,0.9,1.03,1.02,0.89
2020-04-06,0.97,0.71,0.8,0.77,0.91,0.9,1,0.82,0.88
2020-04-07,0.95,0.71,0.8,0.77,0.91,0.9,0.98,0.9,0.88
2020-04-08,0.92,0.71,0.81,0.77,0.91,0.89,0.95,1.18,0.88
2020-04-09,0.9,0.71,0.81,0.76,0.91,0.89,0.92,0.95,0.9
2020-04-10,0.88,0.71,0.81,0.76,0.91,0.89,0.89,1.03,0.89
2020-04-11,0.86,0.71,0.82,0.76,0.91,0.89,0.87,1.13,0.88
2020-04-12,0.84,0.71,0.82,0.76,0.91,0.89,0.84,1.04,0.86
2020-04-13,0.82,0.72,0.82,0.76,0.91,0.89,0.82,0.93,0.84
2020-04-14,0.81,0.72,0.82,0.75,0.91,0.89,0,0.74,0.82
2020-04-15,0.79,0.72,0.83,0.75,0.91,0.89,0.78,0.66,0.81
2020-04-16,0.78,0.72,0.83,0.74,0.91,0.89,0.77,0.71,0.79
2020-04-17,0.77,0.72,0.83,0.73,0.91,0.89,0.76,0.5,0.78
2020-04-18,0.76,0.72,0.84,0.72,0.91,0.89,0,0.51,0.77
2020-04-19,0.76,0.72,0.84,0.72,0.91,0.89,0,0.55,0.76
2020-04-20,0.75,0.72,0.84,0.72,0.91,0.89,0.75,0.69,0.76
2020-04-21,0.75,0.72,0.85,0.71,0.91,0.89,0.74,0.92,0.77
2020-04-22,0.75,0.72,0.85,0.71,0.91,0.89,0.74,0.8,0.77
2020-04-23,0.75,0.72,0.85,0.71,0.91,0.9,0.74,0.89,0.79
2020-04-24,0.76,0.72,0.86,0.71,0.91,0.9,0.74,0.79,0.78
2020-04-25,0.76,0.72,0.86,0.71,0.91,0.92,0.74,0.83,0.79
2020-04-26,0.77,0.72,0.86,0.71,0.91,0.94,0.74,0.79,0.78
2020-04-27,0.77,0.72,0.87,0.71,0.91,0.97,0.75,0.84,0.79
2020-04-28,0.78,0.72,0.87,0.71,0.91,1.01,0.75,0.78,0.79
2020-04-29,0.78,0.72,0.88,0.7,0.91,1.03,0.75,0.76,0.79
2020-04-30,0.79,0.72,0.88,0.7,0.91,1.06,0.76,0.77,0.78
2020-05-01,0.8,0.72,0.88,0.7,0.91,1.07,0.76,0.81,0.79
2020-05-02,0.81,0.72,0.89,0.7,0.91,1.08,0.77,0.74,0.79
2020-05-03,0.82,0.72,0.89,0.7,0.91,1.09,0.78,0.73,0.8
2020-05-04,0.83,0.72,0.89,0.7,1.17,1.09,0.79,0.71,0.8
2020-05-05,0.84,0.72,0.9,0.7,1.17,1.09,0.81,0.8,0.81
2020-05-06,0.86,0.72,0.9,0.7,1.17,1.09,0.82,0.75,0.82
2020-05-07,0.87,0.72,0.9,0.7,1.17,1.09,0.84,0.86,0.84
2020-05-08,0.89,0.72,0.91,0.7,1.17,1.1,0.86,0.8,0.86
