R-Effective County Model Time Series for San Joaquin,,,,,,,
COVID Assessment Tool - Downloaded on 2020-08-26,,,,,,,
Date,CovidActNow,LEMMA,JHU,Stanford,UCSF,Harvard,Ensemble
2020-01-31,0,0,2.63,0,0,0,0
2020-02-01,0,0,2.63,0,0,0,0
2020-02-02,0,0,2.63,0,0,0,2.63
2020-02-03,0,0,2.63,0,0,0,2.63
2020-02-04,0,0,2.63,0,0,0,2.63
2020-02-05,0,0,2.63,0,0,0,2.63
2020-02-06,0,0,2.63,0,0,0,2.63
2020-02-07,0,0,2.63,0,0,0,2.63
2020-02-08,0,0,2.63,0,0,0,2.63
2020-02-09,0,0,2.63,0,0,0,2.63
2020-02-10,0,0,2.63,0,0,0,2.63
2020-02-11,0,0,2.63,0,0,0,2.63
2020-02-12,0,0,2.63,0,0,0,2.63
2020-02-13,0,0,2.63,0,0,0,2.63
2020-02-14,0,0,2.63,0,0,0,2.63
2020-02-15,0,0,2.63,0,0,0,2.63
2020-02-16,0,0,2.63,0,0,0,2.63
2020-02-17,0,0,2.63,0,0,0,2.63
2020-02-18,0,0,2.63,0,0,0,2.63
2020-02-19,0,0,2.63,0,0,0,2.63
2020-02-20,0,0,2.63,0,0,0,2.63
2020-02-21,0,0,2.63,0,0,0,2.63
2020-02-22,0,0,2.63,0,0,0,2.63
2020-02-23,0,0,2.63,0,0,0,2.63
2020-02-24,0,0,2.63,0,0,0,2.63
2020-02-25,0,0,2.63,0,0,0,2.63
2020-02-26,0,0,2.63,0,0,0,2.63
2020-02-27,0,0,2.63,0,0,0,2.63
2020-02-28,0,0,2.63,0,0,0,2.63
2020-02-29,0,0,2.63,0,0,0,2.63
2020-03-01,0,0,2.63,0,0,0,2.63
2020-03-02,0,0,2.63,0,0,0,2.63
2020-03-03,0,0,2.63,0,0,0,2.63
2020-03-04,0,0,2.63,0,0,0,2.63
2020-03-05,0,0,2.63,0,0,0,2.63
2020-03-06,0,0,2.63,0,0,0,2.63
2020-03-07,0,0,2.63,0,0,0,2.63
2020-03-08,0,0,2.63,0,0,0,2.63
2020-03-09,0,0,2.63,0,0,0,2.63
2020-03-10,0,0,2.63,0,0.86,0,2.34
2020-03-11,1.62,0,2.63,2.14,0.92,0,2.09
2020-03-12,1.62,0,2.63,1.83,0.98,0,1.78
2020-03-13,1.61,0,2.02,1.61,1.03,0,1.74
2020-03-14,1.6,0,2.02,1.46,1.09,0,1.62
2020-03-15,1.59,2.15,2.02,1.36,0,0,1.65
2020-03-16,1.58,2.06,2.02,1.3,1.19,0,1.64
2020-03-17,1.57,1.94,2.02,1.26,1.24,0,1.65
2020-03-18,1.55,1.75,2.02,1.24,1.28,0,1.57
2020-03-19,1.53,1.53,2.02,1.22,1.31,0,1.55
2020-03-20,1.5,1.27,1,1.21,1.34,0,1.45
2020-03-21,1.47,1.07,1,1.2,1.36,0,1.33
2020-03-22,1.44,0.97,1,1.19,1.38,0,1.22
2020-03-23,1.4,0.91,1,1.19,1.39,0,1.19
2020-03-24,1.36,0.89,1,1.19,1.39,1.84,1.22
2020-03-25,1.32,0.87,1,1.19,1.39,1.6,1.24
2020-03-26,1.28,0.86,1,1.18,1.38,1.48,1.25
2020-03-27,1.24,0.85,1,1.18,1.37,1.32,1.23
2020-03-28,1.2,0.85,1,1.18,1.36,1.53,1.21
2020-03-29,1.16,0.85,1,1.18,1.34,1.24,1.19
2020-03-30,1.13,0.85,1,1.18,1.33,1.2,1.17
2020-03-31,1.1,0.85,1,1.18,1.32,0.99,1.13
2020-04-01,1.08,0.84,1,1.18,1.3,1.06,1.09
2020-04-02,1.06,0.84,1,1.18,1.29,1.04,1.06
2020-04-03,1.05,0.84,1,1.18,1.28,0.92,1.05
2020-04-04,1.04,0.84,1,1.18,1.27,0,1.04
2020-04-05,1.03,0.84,1,1.18,1.26,0.99,1.03
2020-04-06,1.03,0.84,1,1.18,1.25,0.99,1.02
2020-04-07,1.03,0.84,1,1.18,1.24,1.03,1.02
2020-04-08,1.03,0.84,1,1.18,1.23,1.19,1.05
2020-04-09,1.03,0.84,1,1.18,1.22,1.28,1.08
2020-04-10,1.03,0.84,1,1.18,1.21,1.47,1.11
2020-04-11,1.03,0.84,1,1.18,1.2,1.46,1.11
2020-04-12,1.03,0.84,1,1.18,1.18,1.23,1.11
2020-04-13,1.02,0.84,1,1.18,1.17,1.42,1.1
2020-04-14,1.01,0.84,1,1.18,1.15,1.37,1.09
2020-04-15,0.99,0.84,1,1.18,1.14,1.16,1.08
2020-04-16,0.97,0.84,1,1.18,1.12,1.12,1.07
2020-04-17,0.95,0.85,1,1.18,1.11,0.97,1.04
2020-04-18,0.92,0.85,1,1.18,1.1,1.01,1.02
2020-04-19,0.9,0.85,1,1.18,1.1,1.03,1
2020-04-20,0.87,0.85,1,1.18,1.09,0.87,0.98
2020-04-21,0.84,0.85,1,1.18,1.09,0.83,0.96
2020-04-22,0.81,0.85,1,1.18,1.08,0.89,0.94
2020-04-23,0.79,0.85,1,1.18,1.08,0.73,0.93
2020-04-24,0.76,0.85,1,1.18,1.08,0.77,0.93
2020-04-25,0.74,0.85,1,1.18,1.08,0,0.95
2020-04-26,0.73,0.85,1,1.18,1.07,0,0.98
2020-04-27,0.71,0.85,1,1.18,1.07,0,1
2020-04-28,0.71,0.86,1,1.18,1.07,0,1
2020-04-29,0.71,0.86,1,1.18,1.07,0,1
2020-04-30,0.71,0.87,1,1.18,1.06,0,1
2020-05-01,0.72,0.87,1,1.18,1.06,0,1
2020-05-02,0.74,0.88,1,1.18,1.06,0,1
2020-05-03,0.76,0.88,1,1.19,1.05,0,1
2020-05-04,0.78,0.88,1,1.2,1.05,0,1
2020-05-05,0.8,0.89,1,1.21,1.05,0,1
2020-05-06,0.83,0.89,1,1.22,1.05,0,1
2020-05-07,0.86,0.89,1,1.23,1.04,0,1
2020-05-08,0.88,0.89,1.37,1.24,1.04,0,1.01
2020-05-09,0.91,0.89,1.37,1.24,1.04,0,1.03
2020-05-10,0.94,0.9,1.37,1.25,1.04,0,1.04
2020-05-11,0.96,0.92,1.37,1.25,1.03,0,1.04
2020-05-12,0.98,0.95,1.37,1.25,1.03,1.34,1.07
2020-05-13,1.01,1,1.37,1.25,1.03,1.27,1.1
2020-05-14,1.03,1.07,1.37,1.25,1.02,1.23,1.14
2020-05-15,1.05,1.16,1.37,1.25,1.02,1.15,1.15
2020-05-16,1.07,1.24,1.37,1.25,1.02,1.28,1.18
2020-05-17,1.09,1.29,1.37,1.25,1.02,1.27,1.22
2020-05-18,1.11,1.33,1.37,1.25,1.02,1.07,1.23
2020-05-19,1.14,1.35,1.37,1.24,1.02,0,1.23
2020-05-20,1.16,1.36,1.37,1.24,1.02,0,1.22
2020-05-21,1.19,1.36,1.47,1.24,1.03,0,1.24
2020-05-22,1.21,1.37,1.47,1.24,1.04,0,1.24
2020-05-23,1.24,1.37,1.47,1.24,1.04,1.67,1.26
2020-05-24,1.27,1.39,1.47,1.24,1.05,1.46,1.29
2020-05-25,1.3,1.41,1.47,1.24,1.06,1.31,1.31
2020-05-26,1.32,1.45,1.47,1.24,1.07,1.23,1.3
2020-05-27,1.34,1.49,1.47,1.24,1.08,1.73,1.33
2020-05-28,1.36,1.55,1.47,1.23,1.09,2.06,1.37
2020-05-29,1.38,1.61,1.47,1.23,1.1,2.48,1.42
2020-05-30,1.39,1.66,1.47,1.23,1.11,1.47,1.42
2020-05-31,1.4,1.71,1.47,1.23,1.12,1.37,1.41
2020-06-01,1.4,1.74,1.47,1.23,1.12,1.65,1.42
2020-06-02,1.4,1.77,1.47,1.23,1.13,1.67,1.42
2020-06-03,1.39,1.78,1.47,1.22,1.14,1.41,1.42
2020-06-04,1.38,1.78,1.47,1.22,1.14,1.26,1.39
2020-06-05,1.37,1.78,1.47,1.22,1.15,1.03,1.34
2020-06-06,1.36,1.78,1.47,1.22,1.16,1.31,1.32
2020-06-07,1.35,1.77,1.47,1.22,1.17,1.36,1.33
2020-06-08,1.33,1.75,1.47,1.21,1.18,1.38,1.35
2020-06-09,1.32,1.72,1.47,1.21,1.19,1.46,1.37
2020-06-10,1.31,1.68,1.47,1.21,1.2,1.42,1.37
2020-06-11,1.3,1.64,1.47,1.21,1.21,1.23,1.34
2020-06-12,1.29,1.61,1.45,1.2,1.22,1.39,1.32
2020-06-13,1.29,1.58,1.45,1.2,1.23,1.21,1.29
2020-06-14,1.28,1.55,1.45,1.2,1.24,1.04,1.29
2020-06-15,1.28,1.53,1.45,1.19,1.25,2.08,1.3
2020-06-16,1.28,1.52,1.45,1.19,1.25,1.56,1.33
2020-06-17,1.29,1.51,1.45,1.18,1.26,1.26,1.34
2020-06-18,1.29,1.5,1.45,1.17,1.27,1.39,1.33
2020-06-19,1.29,1.5,1.45,1.16,1.27,1.36,1.31
2020-06-20,1.29,1.5,1.45,1.15,1.28,1.41,1.34
2020-06-21,1.29,1.49,1.45,1.14,1.28,1.48,1.35
2020-06-22,1.29,1.49,1.45,1.14,1.28,0.77,1.34
2020-06-23,1.29,1.47,1.45,1.13,1.28,0.79,1.32
2020-06-24,1.29,1.45,1.45,1.13,1.29,1.09,1.29
2020-06-25,1.29,1.4,1.45,1.12,1.29,1.58,1.31
2020-06-26,1.28,1.34,1.45,1.12,1.29,1.28,1.31
2020-06-27,1.27,1.27,1.45,1.11,1.29,1.44,1.3
2020-06-28,1.26,1.21,1.45,1.11,1.29,1.36,1.28
2020-06-29,1.25,1.18,1.45,1.1,1.28,1.21,1.26
2020-06-30,1.24,1.15,1.45,1.1,1.28,1.16,1.23
2020-07-01,1.22,1.14,1.38,1.09,1.27,0.97,1.2
2020-07-02,1.21,1.13,1.38,1.09,1.26,1.44,1.2
2020-07-03,1.19,1.13,1.38,1.08,1.25,1.46,1.21
2020-07-04,1.17,1.12,1.38,1.08,1.23,1.23,1.22
2020-07-05,1.15,1.12,1.38,1.07,1.22,1.2,1.2
2020-07-06,1.13,1.12,1.38,1.07,1.2,1.16,1.17
2020-07-07,1.12,1.12,1.38,1.06,1.18,1.12,1.15
2020-07-08,1.1,1.11,1.38,1.06,1.17,1.53,1.14
2020-07-09,1.09,1.1,1.38,1.05,1.16,0.9,1.12
2020-07-10,1.08,1.09,1.38,1.05,1.15,0.9,1.11
2020-07-11,1.07,1.08,1.38,1.04,1.14,0.93,1.08
2020-07-12,1.06,1.06,1.38,1.04,1.14,0.91,1.07
2020-07-13,1.05,1.03,1.38,1.03,1.13,0.93,1.06
2020-07-14,1.05,1,1.31,1.03,1.13,0.94,1.05
2020-07-15,1.04,0.98,1.31,1.02,1.13,0.83,1.04
2020-07-16,1.03,0.95,1.31,1.02,1.12,1.01,1.03
2020-07-17,1.03,0.94,1.31,1.01,1.12,1.39,1.04
2020-07-18,1.02,0.93,1.31,1.01,1.11,1.28,1.05
2020-07-19,1.01,0.92,1.31,1,1.1,1.29,1.06
2020-07-20,1,0.92,1.31,1,1.09,1.22,1.05
2020-07-21,0.98,0.92,1.31,0.99,1.08,1.16,1.05
2020-07-22,0.97,0.91,1.31,0.99,1.07,1.15,1.04
2020-07-23,0.95,0.89,1.31,0.98,1.06,1.01,1.02
2020-07-24,0.94,0.87,1.31,0.98,1.05,0.77,0.99
2020-07-25,0.92,0.84,1.31,0.97,1.04,0.76,0.97
2020-07-26,0.91,0.81,1.31,0.97,1.03,0.72,0.95
2020-07-27,0.9,0.77,1.31,0.96,1.03,0.77,0.94
2020-07-28,0.89,0.75,1.31,0.96,1.03,0.81,0.93
2020-07-29,0.89,0.73,1.31,0.96,1.03,0.75,0.93
2020-07-30,0.9,0.72,1.31,0.95,1.03,0.67,0.92
2020-07-31,0.9,0.72,1.31,0.95,1.04,0.57,0.92
2020-08-01,0.92,0.71,1.31,0.94,1.05,0.59,0.93
2020-08-02,0.93,0.71,1.31,0.94,1.07,0.53,0.93
2020-08-03,0.95,0.71,1.31,0.93,1.08,0.75,0.93
2020-08-04,0.97,0.71,1.31,0.93,1.1,0.79,0.94
2020-08-05,0.99,0.71,1.31,0.93,1.12,0.97,0.96
2020-08-06,1.01,0.71,1.31,0.92,1.13,1.9,1
2020-08-07,1.02,0.71,1.31,0.92,1.14,1.55,1.04
2020-08-08,1.03,0.72,1.31,0.91,1.14,1.6,1.08
2020-08-09,1.03,0.72,1.31,0.91,1.14,1.67,1.08
