# Industry Title	Feb	Mar	Apr	May	Jun	Jul	Aug
Total Farm	352800	345400	362900	468000	465700	439400	452400
Mining and Logging	21600	21500	19900	19000	18900	19500	19600
Utilities	57500	57700	57700	58000	58400	58800	59000
Construction	57500	57700	57700	58000	58400	58800	59000
Manufacturing	1319300	1316800	1198700	1222400	1253000	1254100	1260800
Wholesale Trade	684600	678600	610000	619800	631200	632400	635500
Retail Trade	1632300	1617100	1309200	1320900	1454300	1491800	1506300
Transportation and Warehousing	664400	658700	611900	629500	647600	650800	672000
Information	592400	587700	507800	498400	499100	500100	507700
Financial Activities	847800	840600	798300	799300	801400	806500	807100
Professional and Business Services	2753300	2713300	2463000	2490600	2516900	2534500	2549200
Educational and Health Services	2886300	2876100	2591700	2629200	2671000	2660000	2680400
Leisure and Hospitality	2028300	1968700	1078800	1138100	1343400	1340100	1326900
Other Services	588900	575300	397400	415400	443100	453400	428500
Government	2635500	2651400	2561700	2476100	2447600	2309400	2374500
