#Industry Title	Feb	Mar	Apr	May	Jun	Jul	Aug
Total Farm	36600	34400	41000	48100	48600	48900	50800
Mining and Logging	300	300	200	300	300	300	300
Utilities	2300	2400	2500	2600	2600	2500	2600
Construction	18300	18300	16700	18100	18000	17900	18100
Manufacturing	26100	26000	24100	24500	25100	25300	26200
Wholesale Trade	14800	14700	13500	13400	13500	13500	13600
Retail Trade	38800	38400	32200	31600	34100	34200	35200
Transportation and Warehousing	14300	14400	12700	12400	12800	13300	14100
Information	3400	3400	3000	2900	3000	3000	3000
Financial Activities	14900	14900	14700	14500	14500	14500	14600
Professional and Business Services	33500	33400	30100	30500	31800	31500	32600
Educational and Health Services	74200	73900	70300	70400	70500	71000	72700
Leisure and Hospitality	34900	34200	19100	20100	26400	25100	25600
Other Services	12000	11700	8700	8900	9400	9600	9500
Government	76600	76600	75600	74900	71500	68100	68400
