#Industry Title	Feb	Mar	Apr	May	Jun	Jul	Aug
Total Farm	4400	4200	3800	3700	3800	3800	4100
Mining and Logging	1900	1900	1900	1900	1900	1900	1900
Utilities	12200	12200	12300	12300	12400	12500	12500
Construction	152600	148900	130900	141900	146100	146700	146400
Manufacturing	336600	328900	291400	301600	314700	315800	313600
Wholesale Trade	218700	217000	196200	200800	207500	206900	206900
Retail Trade	415800	413800	339600	348200	370000	377600	385200
Transportation and Warehousing	205800	203700	185500	182300	187100	190400	192300
Information	241000	234300	183400	174700	178400	180600	182700
Financial Activities	225000	227000	217400	218000	218600	222700	221100
Professional and Business Services	647700	644300	567100	574400	590100	593400	593600
Educational and Health Services	865100	858300	778900	785700	799800	800800	802200
Leisure and Hospitality	543700	517800	295400	313400	378600	383900	372100
Other Services	160100	151100	118900	114200	118900	124800	120900
Government	606200	610200	597200	583000	573000	529000	547100
