#Industry Title	Feb	Mar	Apr	May	Jun	Jul	Aug
Total Farm	1100	1000	1100	1200	1400	1500	1500
Mining and Logging	200	200	200	200	200	200	200
Utilities	5500	5500	4900	5100	5200	5100	5100
Construction	74500	74000	55200	62400	67400	66900	67100
Manufacturing	99300	99700	82300	82600	84300	85200	85800
Wholesale Trade	45100	45100	40100	40500	42500	42100	42600
Retail Trade	111100	110100	92900	93900	97600	99800	100700
Transportation and Warehousing	36700	36600	33100	34000	35300	35400	35200
Information	27900	27800	26700	26200	26400	26500	26400
Financial Activities	55100	55000	53300	53600	54400	54400	54700
Professional and Business Services	189900	189100	172500	175500	178800	179100	181400
Educational and Health Services	199700	199500	176100	179500	179300	178000	179300
Leisure and Hospitality	117400	115800	64300	68100	80300	83100	80400
Other Services	41100	39200	28400	30600	32800	32700	31400
Government	176900	178200	170800	164700	162700	147500	153200
