#Industry Title	Feb	Mar	Apr	May	Jun	Jul	Aug
Total Farm	13800	13500	13000	15000	15500	15300	11800
Mining and Logging	1200	1200	1100	1100	1100	1000	1000
Utilities	4800	4800	4800	4800	4800	4800	4800
Construction	106400	103900	90700	101000	103900	102500	103400
Manufacturing	98800	98400	90300	90100	91300	91400	90000
Wholesale Trade	66600	67100	60800	61400	66900	67200	67800
Retail Trade	180000	178700	149300	149300	156400	161300	163200
Transportation and Warehousing	142200	141300	133600	135500	135600	135100	139900
Information	11300	11200	9500	9400	9500	9600	9600
Financial Activities	43600	43700	42300	43300	42400	43600	43700
Professional and Business Services	155700	153200	137800	142300	144200	145900	146700
Educational and Health Services	257700	256300	235400	235400	239500	241900	243400
Leisure and Hospitality	175000	169800	94700	96900	117700	117400	117800
Other Services	44800	43600	33800	34400	35900	35000	34200
Government	261000	263700	259100	246500	244200	235000	241600
