#Industry Title	Feb	Mar	Apr	May	Jun	Jul	Aug
Total Farm	9500	9400	9300	9500	9500	9500	9600
Mining and Logging	400	400	400	400	400	400	400
Utilities	4600	4700	4700	4700	4600	4600	4600
Construction	83600	80200	73700	77300	81000	79700	82800
Manufacturing	116500	117100	106500	106400	108200	108300	108800
Wholesale Trade	43700	42500	38400	38800	39600	39800	40100
Retail Trade	144300	141900	120600	120800	127000	130700	133000
Transportation and Warehousing	29900	29700	24600	25900	27200	28900	28900
Information	23400	23200	19800	19500	19800	19900	19800
Financial Activities	76900	76300	72200	72600	73300	73500	74000
Professional and Business Services	264400	259500	248500	247900	252700	253900	259200
Educational and Health Services	222100	219600	193800	196000	199400	201700	202700
Leisure and Hospitality	197600	192900	104800	114600	148000	148400	148000
Other Services	55300	53100	38100	39000	41600	43500	44700
Government	251800	252900	244700	237800	234400	217500	224300
