#Industry Title	Feb	Mar	Apr	May	Jun	Jul	Aug
Total Farm	1500	1500	1400	1400	1400	1400	1400
Mining and Logging	100	100	100	100	100	100	100
Utilities	4900	4900	4800	4800	4800	4800	4800
Construction	41800	42000	29900	39000	41100	40700	41000
Manufacturing	38700	38600	34800	35100	35900	36000	36000
Wholesale Trade	25800	25800	23900	23700	23300	21900	22400
Retail Trade	77000	75800	64200	63800	67500	70700	71300
Transportation and Warehousing	45000	44200	38100	36500	36800	38600	39200
Information	99900	99300	90000	89300	91300	92600	92000
Financial Activities	86900	86900	85000	85000	86400	86900	87300
Professional and Business Services	299600	294500	279500	282000	284700	287500	286500
Educational and Health Services	150200	150100	128400	130000	134200	137600	137400
Leisure and Hospitality	147900	139200	62900	67800	89000	91800	93600
Other Services	41300	40600	30900	29800	31300	33800	33800
Government	132300	133500	130300	125400	121900	113300	119400
