#Industry Title	Feb	Mar	Apr	May	Jun	Jul	Aug
Total Farm	4700	5000	5000	5100	5300	5600	5600
Mining and Logging	200	200	100	200	200	200	200
Utilities	1600	1600	1400	1500	1500	1500	1600
Construction	51200	50000	35400	44800	50600	50800	51300
Manufacturing	174800	174700	160800	162300	164800	166100	166600
Wholesale Trade	31000	31000	28100	28300	28300	28600	28700
Retail Trade	83200	82500	70000	68500	72400	74300	75700
Transportation and Warehousing	14900	14700	13000	14000	14200	14400	15200
Information	103700	103400	94200	93300	95400	93200	93400
Financial Activities	38300	38400	36300	36200	36000	36400	36300
Professional and Business Services	243100	243000	233000	231800	235300	237600	241500
Educational and Health Services	179700	179400	164900	164200	167300	165700	167000
Leisure and Hospitality	101600	95300	52700	59000	72700	73800	68600
Other Services	29900	26200	19500	20200	23200	24200	22300
Government	98600	99100	97100	93500	91800	84400	89300
