#Industry Title	Feb	Mar	Apr	May	Jun	Jul	Aug
Total Farm	11300	12500	11500	13500	13500	15500	15700
Mining and Logging	100	100	100	100	100	100	100
Utilities	1500	1500	1500	1500	1500	1500	1600
Construction	12600	12500	11400	12500	12600	12700	12900
Manufacturing	18600	18800	17900	17900	18100	18800	19200
Wholesale Trade	12600	12600	11600	11700	11900	11900	12000
Retail Trade	25400	25500	20900	20200	21900	22300	22000
Transportation and Warehousing	31300	30400	29900	29700	30600	30300	32200
Information	1600	1600	1500	1400	1500	1500	1400
Financial Activities	8100	7400	7400	7500	7400	7700  7700
Professional and Business Services	20200	19900	18200	18500	18800	18300	18400
Educational and Health Services	38800	39200	35300	36400	36800	36200	36900
Leisure and Hospitality	22500	21900	11500	12100	16400	16400	16400
Other Services	7800	7600	5800	5900	6200	6300	6300
Government	46000	46000	44500	43300	42200	37500	40600
