#Industry Title	Feb	Mar	Apr	May	Jun	Jul	Aug
Total Farm	2455000	2352000	2379000	2303000	2257000	2158000	2194000
Mining and Logging	675000	669000	615000	602000	600000	599000	595000
Utilities	545000	546500	541000	540600	541300	542500	541400
Construction	7278000	7297000	6452000	7070000	7359000	7424000	7460000
Manufacturing	12727000	12672000	11369000	11629000	12069000	12107000	12133000
Wholesale Trade	5858700	5847900	5470000	5507600	5581000	5563300	5565200
Retail Trade	15353900	15286800	13131500	13600000	14503400	14748000	14965500
Transportation and Warehousing	5745900	5741700	5168300	5181900	5304400	5300600	5380100
Information	2894000	2888000	2630000	2585000	2606000	2606000	2622000
Financial Activities	8820000	8805000	8555000	8593000	8675000	8709000	8730000
Professional and Business Services	21134000	21050000	19053000	19238000	19683000	19856000	20060000
Educational and Health Services	24668000	24471000	21880000	22153000	22491000	22590000	22782000
Leisure and Hospitality	16292000	15745000	8648000	10303000	12637000	13364000	13445000
Other Services	5882000	5805000	4519000	4797000	5217000	5388000	5425000
Government	23094000	23127000	22219000	21619000	21234000	20310000	21024000
