county,totalcountdeaths,date
Orange,0.0,2020-03-18T00:00:00
Orange,0.0,2020-03-19T00:00:00
Orange,0.0,2020-03-20T00:00:00
Orange,0.0,2020-03-21T00:00:00
Orange,0.0,2020-03-22T00:00:00
Orange,0.0,2020-03-23T00:00:00
Orange,0.0,2020-03-24T00:00:00
Orange,1.0,2020-03-25T00:00:00
Orange,1.0,2020-03-26T00:00:00
Orange,2.0,2020-03-27T00:00:00
Orange,2.0,2020-03-28T00:00:00
Orange,2.0,2020-03-29T00:00:00
Orange,5.0,2020-03-30T00:00:00
Orange,7.0,2020-03-31T00:00:00
Orange,11.0,2020-04-01T00:00:00
Orange,12.0,2020-04-02T00:00:00
Orange,13.0,2020-04-03T00:00:00
Orange,15.0,2020-04-04T00:00:00
Orange,15.0,2020-04-05T00:00:00
Orange,17.0,2020-04-06T00:00:00
Orange,19.0,2020-04-07T00:00:00
Orange,19.0,2020-04-08T00:00:00
Orange,19.0,2020-04-09T00:00:00
Orange,17.0,2020-04-10T00:00:00
Orange,21.0,2020-04-11T00:00:00
Orange,21.0,2020-04-12T00:00:00
Orange,21.0,2020-04-13T00:00:00
Orange,21.0,2020-04-14T00:00:00
Orange,22.0,2020-04-15T00:00:00
Orange,26.0,2020-04-16T00:00:00
Orange,28.0,2020-04-17T00:00:00
Orange,32.0,2020-04-18T00:00:00
Orange,32.0,2020-04-19T00:00:00
Orange,33.0,2020-04-20T00:00:00
Orange,33.0,2020-04-21T00:00:00
Orange,34.0,2020-04-22T00:00:00
Orange,36.0,2020-04-23T00:00:00
Orange,39.0,2020-04-24T00:00:00
Orange,39.0,2020-04-25T00:00:00
Orange,40.0,2020-04-26T00:00:00
Orange,42.0,2020-04-27T00:00:00
Orange,42.0,2020-04-28T00:00:00
Orange,44.0,2020-04-29T00:00:00
Orange,46.0,2020-04-30T00:00:00
Orange,51.0,2020-05-01T00:00:00
Orange,52.0,2020-05-02T00:00:00
Orange,55.0,2020-05-03T00:00:00
Orange,57.0,2020-05-04T00:00:00
Orange,61.0,2020-05-05T00:00:00
Orange,65.0,2020-05-06T00:00:00
Orange,66.0,2020-05-07T00:00:00
Orange,72.0,2020-05-08T00:00:00
Orange,75.0,2020-05-09T00:00:00
Orange,76.0,2020-05-10T00:00:00
Orange,78.0,2020-05-11T00:00:00
Orange,78.0,2020-05-12T00:00:00
Orange,80.0,2020-05-13T00:00:00
Orange,80.0,2020-05-14T00:00:00
Orange,84.0,2020-05-15T00:00:00
Orange,87.0,2020-05-16T00:00:00
Orange,88.0,2020-05-17T00:00:00
Orange,88.0,2020-05-18T00:00:00
Orange,88.0,2020-05-19T00:00:00
Orange,98.0,2020-05-20T00:00:00
Orange,112.0,2020-05-21T00:00:00
Orange,118.0,2020-05-22T00:00:00
Orange,130.0,2020-05-23T00:00:00
Orange,131.0,2020-05-24T00:00:00
Orange,131.0,2020-05-25T00:00:00
Orange,131.0,2020-05-26T00:00:00
Orange,136.0,2020-05-27T00:00:00
Orange,142.0,2020-05-28T00:00:00
Orange,145.0,2020-05-29T00:00:00
Orange,146.0,2020-05-30T00:00:00
Orange,147.0,2020-05-31T00:00:00
Orange,147.0,2020-06-01T00:00:00
Orange,150.0,2020-06-02T00:00:00
Orange,158.0,2020-06-03T00:00:00
Orange,165.0,2020-06-04T00:00:00
Orange,174.0,2020-06-05T00:00:00
Orange,176.0,2020-06-06T00:00:00
Orange,177.0,2020-06-07T00:00:00
Orange,177.0,2020-06-08T00:00:00
Orange,185.0,2020-06-09T00:00:00
Orange,198.0,2020-06-10T00:00:00
Orange,202.0,2020-06-11T00:00:00
Orange,210.0,2020-06-12T00:00:00
Orange,217.0,2020-06-13T00:00:00
Orange,221.0,2020-06-14T00:00:00
Orange,221.0,2020-06-15T00:00:00
Orange,233.0,2020-06-16T00:00:00
Orange,244.0,2020-06-17T00:00:00
Orange,250.0,2020-06-18T00:00:00
Orange,257.0,2020-06-19T00:00:00
Orange,267.0,2020-06-20T00:00:00
Orange,269.0,2020-06-21T00:00:00
Orange,275.0,2020-06-22T00:00:00
Orange,275.0,2020-06-23T00:00:00
Orange,299.0,2020-06-24T00:00:00
Orange,306.0,2020-06-25T00:00:00
Orange,323.0,2020-06-26T00:00:00
Orange,323.0,2020-06-27T00:00:00
Orange,326.0,2020-06-28T00:00:00
Orange,330.0,2020-06-29T00:00:00
Orange,340.0,2020-06-30T00:00:00
Orange,345.0,2020-07-01T00:00:00
Orange,354.0,2020-07-02T00:00:00
Orange,360.0,2020-07-03T00:00:00
Orange,363.0,2020-07-04T00:00:00
Orange,366.0,2020-07-05T00:00:00
Orange,366.0,2020-07-06T00:00:00
Orange,369.0,2020-07-07T00:00:00
Orange,376.0,2020-07-08T00:00:00
Orange,402.0,2020-07-09T00:00:00
Orange,412.0,2020-07-10T00:00:00
Orange,421.0,2020-07-11T00:00:00
Orange,423.0,2020-07-12T00:00:00
Orange,424.0,2020-07-13T00:00:00
Orange,433.0,2020-07-14T00:00:00
Orange,455.0,2020-07-15T00:00:00
Orange,466.0,2020-07-16T00:00:00
Orange,469.0,2020-07-17T00:00:00
Orange,494.0,2020-07-18T00:00:00
Orange,492.0,2020-07-19T00:00:00
Orange,493.0,2020-07-20T00:00:00
Orange,513.0,2020-07-21T00:00:00
Orange,521.0,2020-07-22T00:00:00
Orange,543.0,2020-07-23T00:00:00
Orange,556.0,2020-07-24T00:00:00
Orange,562.0,2020-07-25T00:00:00
Orange,564.0,2020-07-26T00:00:00
Orange,566.0,2020-07-27T00:00:00
Orange,581.0,2020-07-28T00:00:00
Orange,587.0,2020-07-29T00:00:00
Orange,604.0,2020-07-30T00:00:00
Orange,618.0,2020-07-31T00:00:00
Orange,649.0,2020-08-01T00:00:00
Orange,651.0,2020-08-02T00:00:00
Orange,651.0,2020-08-03T00:00:00
Orange,653.0,2020-08-04T00:00:00
Orange,665.0,2020-08-05T00:00:00
Orange,697.0,2020-08-06T00:00:00
Orange,704.0,2020-08-07T00:00:00
Orange,720.0,2020-08-08T00:00:00
Orange,726.0,2020-08-09T00:00:00
Orange,724.0,2020-08-10T00:00:00
Orange,734.0,2020-08-11T00:00:00
Orange,745.0,2020-08-12T00:00:00
Orange,769.0,2020-08-13T00:00:00
Orange,789.0,2020-08-14T00:00:00
Orange,809.0,2020-08-15T00:00:00
Orange,810.0,2020-08-16T00:00:00
Orange,810.0,2020-08-17T00:00:00
Orange,815.0,2020-08-18T00:00:00
