county,totalcountdeaths,date
Fresno,0.0,2020-03-18T00:00:00
Fresno,0.0,2020-03-19T00:00:00
Fresno,0.0,2020-03-20T00:00:00
Fresno,0.0,2020-03-21T00:00:00
Fresno,0.0,2020-03-22T00:00:00
Fresno,0.0,2020-03-23T00:00:00
Fresno,0.0,2020-03-24T00:00:00
Fresno,0.0,2020-03-25T00:00:00
Fresno,0.0,2020-03-26T00:00:00
Fresno,0.0,2020-03-27T00:00:00
Fresno,0.0,2020-03-28T00:00:00
Fresno,0.0,2020-03-29T00:00:00
Fresno,0.0,2020-03-30T00:00:00
Fresno,0.0,2020-03-31T00:00:00
Fresno,0.0,2020-04-01T00:00:00
Fresno,0.0,2020-04-02T00:00:00
Fresno,1.0,2020-04-03T00:00:00
Fresno,1.0,2020-04-04T00:00:00
Fresno,1.0,2020-04-05T00:00:00
Fresno,1.0,2020-04-06T00:00:00
Fresno,3.0,2020-04-07T00:00:00
Fresno,3.0,2020-04-08T00:00:00
Fresno,3.0,2020-04-09T00:00:00
Fresno,4.0,2020-04-10T00:00:00
Fresno,4.0,2020-04-11T00:00:00
Fresno,4.0,2020-04-12T00:00:00
Fresno,5.0,2020-04-13T00:00:00
Fresno,5.0,2020-04-14T00:00:00
Fresno,7.0,2020-04-15T00:00:00
Fresno,7.0,2020-04-16T00:00:00
Fresno,7.0,2020-04-17T00:00:00
Fresno,7.0,2020-04-18T00:00:00
Fresno,7.0,2020-04-19T00:00:00
Fresno,7.0,2020-04-20T00:00:00
Fresno,7.0,2020-04-21T00:00:00
Fresno,7.0,2020-04-22T00:00:00
Fresno,7.0,2020-04-23T00:00:00
Fresno,7.0,2020-04-24T00:00:00
Fresno,7.0,2020-04-25T00:00:00
Fresno,7.0,2020-04-26T00:00:00
Fresno,7.0,2020-04-27T00:00:00
Fresno,7.0,2020-04-28T00:00:00
Fresno,7.0,2020-04-29T00:00:00
Fresno,7.0,2020-04-30T00:00:00
Fresno,8.0,2020-05-01T00:00:00
Fresno,8.0,2020-05-02T00:00:00
Fresno,8.0,2020-05-03T00:00:00
Fresno,9.0,2020-05-04T00:00:00
Fresno,9.0,2020-05-05T00:00:00
Fresno,9.0,2020-05-06T00:00:00
Fresno,9.0,2020-05-07T00:00:00
Fresno,9.0,2020-05-08T00:00:00
Fresno,9.0,2020-05-09T00:00:00
Fresno,9.0,2020-05-10T00:00:00
Fresno,9.0,2020-05-11T00:00:00
Fresno,10.0,2020-05-12T00:00:00
Fresno,13.0,2020-05-13T00:00:00
Fresno,13.0,2020-05-14T00:00:00
Fresno,16.0,2020-05-15T00:00:00
Fresno,16.0,2020-05-16T00:00:00
Fresno,16.0,2020-05-17T00:00:00
Fresno,17.0,2020-05-18T00:00:00
Fresno,17.0,2020-05-19T00:00:00
Fresno,20.0,2020-05-20T00:00:00
Fresno,22.0,2020-05-21T00:00:00
Fresno,22.0,2020-05-22T00:00:00
Fresno,22.0,2020-05-23T00:00:00
Fresno,22.0,2020-05-24T00:00:00
Fresno,22.0,2020-05-25T00:00:00
Fresno,26.0,2020-05-26T00:00:00
Fresno,30.0,2020-05-27T00:00:00
Fresno,32.0,2020-05-28T00:00:00
Fresno,35.0,2020-05-29T00:00:00
Fresno,35.0,2020-05-30T00:00:00
Fresno,35.0,2020-05-31T00:00:00
Fresno,36.0,2020-06-01T00:00:00
Fresno,37.0,2020-06-02T00:00:00
Fresno,37.0,2020-06-03T00:00:00
Fresno,40.0,2020-06-04T00:00:00
Fresno,43.0,2020-06-05T00:00:00
Fresno,43.0,2020-06-06T00:00:00
Fresno,43.0,2020-06-07T00:00:00
Fresno,43.0,2020-06-08T00:00:00
Fresno,48.0,2020-06-09T00:00:00
Fresno,49.0,2020-06-10T00:00:00
Fresno,51.0,2020-06-11T00:00:00
Fresno,52.0,2020-06-12T00:00:00
Fresno,52.0,2020-06-13T00:00:00
Fresno,52.0,2020-06-14T00:00:00
Fresno,55.0,2020-06-15T00:00:00
Fresno,57.0,2020-06-16T00:00:00
Fresno,61.0,2020-06-17T00:00:00
Fresno,62.0,2020-06-18T00:00:00
Fresno,66.0,2020-06-19T00:00:00
Fresno,66.0,2020-06-20T00:00:00
Fresno,66.0,2020-06-21T00:00:00
Fresno,67.0,2020-06-22T00:00:00
Fresno,70.0,2020-06-23T00:00:00
Fresno,71.0,2020-06-24T00:00:00
Fresno,71.0,2020-06-25T00:00:00
Fresno,72.0,2020-06-26T00:00:00
Fresno,72.0,2020-06-27T00:00:00
Fresno,72.0,2020-06-28T00:00:00
Fresno,72.0,2020-06-29T00:00:00
Fresno,74.0,2020-06-30T00:00:00
Fresno,75.0,2020-07-01T00:00:00
Fresno,77.0,2020-07-02T00:00:00
Fresno,77.0,2020-07-03T00:00:00
Fresno,77.0,2020-07-04T00:00:00
Fresno,77.0,2020-07-05T00:00:00
Fresno,78.0,2020-07-06T00:00:00
Fresno,81.0,2020-07-07T00:00:00
Fresno,84.0,2020-07-08T00:00:00
Fresno,87.0,2020-07-09T00:00:00
Fresno,87.0,2020-07-10T00:00:00
Fresno,88.0,2020-07-11T00:00:00
Fresno,88.0,2020-07-12T00:00:00
Fresno,88.0,2020-07-13T00:00:00
Fresno,91.0,2020-07-14T00:00:00
Fresno,91.0,2020-07-15T00:00:00
Fresno,91.0,2020-07-16T00:00:00
Fresno,100.0,2020-07-17T00:00:00
Fresno,100.0,2020-07-18T00:00:00
Fresno,100.0,2020-07-19T00:00:00
Fresno,100.0,2020-07-20T00:00:00
Fresno,104.0,2020-07-21T00:00:00
Fresno,104.0,2020-07-22T00:00:00
Fresno,104.0,2020-07-23T00:00:00
Fresno,112.0,2020-07-24T00:00:00
Fresno,112.0,2020-07-25T00:00:00
Fresno,112.0,2020-07-26T00:00:00
Fresno,112.0,2020-07-27T00:00:00
Fresno,120.0,2020-07-28T00:00:00
Fresno,120.0,2020-07-29T00:00:00
Fresno,120.0,2020-07-30T00:00:00
Fresno,138.0,2020-07-31T00:00:00
Fresno,138.0,2020-08-01T00:00:00
Fresno,138.0,2020-08-02T00:00:00
Fresno,138.0,2020-08-03T00:00:00
Fresno,157.0,2020-08-04T00:00:00
Fresno,157.0,2020-08-05T00:00:00
Fresno,157.0,2020-08-06T00:00:00
Fresno,171.0,2020-08-07T00:00:00
Fresno,171.0,2020-08-08T00:00:00
Fresno,171.0,2020-08-09T00:00:00
Fresno,171.0,2020-08-10T00:00:00
Fresno,191.0,2020-08-11T00:00:00
Fresno,191.0,2020-08-12T00:00:00
Fresno,191.0,2020-08-13T00:00:00
Fresno,203.0,2020-08-14T00:00:00
Fresno,203.0,2020-08-15T00:00:00
Fresno,203.0,2020-08-16T00:00:00
Fresno,203.0,2020-08-17T00:00:00
Fresno,205.0,2020-08-18T00:00:00
Fresno,205.0,2020-08-19T00:00:00
Fresno,205.0,2020-08-20T00:00:00
Fresno,226.0,2020-08-21T00:00:00
Fresno,226.0,2020-08-22T00:00:00
Fresno,226.0,2020-08-23T00:00:00
Fresno,226.0,2020-08-24T00:00:00
Fresno,239.0,2020-08-25T00:00:00
Fresno,239.0,2020-08-26T00:00:00
Fresno,239.0,2020-08-27T00:00:00
Fresno,263.0,2020-08-28T00:00:00
Fresno,263.0,2020-08-29T00:00:00
Fresno,263.0,2020-08-30T00:00:00
Fresno,263.0,2020-08-31T00:00:00
Fresno,290.0,2020-09-01T00:00:00
Fresno,290.0,2020-09-02T00:00:00
Fresno,290.0,2020-09-03T00:00:00
Fresno,312.0,2020-09-04T00:00:00
Fresno,312.0,2020-09-05T00:00:00
Fresno,312.0,2020-09-06T00:00:00
Fresno,312.0,2020-09-07T00:00:00
Fresno,326.0,2020-09-08T00:00:00
Fresno,326.0,2020-09-09T00:00:00
Fresno,326.0,2020-09-10T00:00:00
Fresno,337.0,2020-09-11T00:00:00
Fresno,337.0,2020-09-12T00:00:00
Fresno,337.0,2020-09-13T00:00:00
Fresno,337.0,2020-09-14T00:00:00
Fresno,348.0,2020-09-15T00:00:00
Fresno,348.0,2020-09-16T00:00:00
Fresno,348.0,2020-09-17T00:00:00
Fresno,355.0,2020-09-18T00:00:00
Fresno,355.0,2020-09-19T00:00:00
Fresno,355.0,2020-09-20T00:00:00
Fresno,355.0,2020-09-21T00:00:00
Fresno,362.0,2020-09-22T00:00:00
Fresno,362.0,2020-09-23T00:00:00
Fresno,362.0,2020-09-24T00:00:00
Fresno,382.0,2020-09-25T00:00:00
Fresno,382.0,2020-09-26T00:00:00
Fresno,382.0,2020-09-27T00:00:00
Fresno,382.0,2020-09-28T00:00:00
Fresno,390.0,2020-09-29T00:00:00
Fresno,390.0,2020-09-30T00:00:00
Fresno,390.0,2020-10-01T00:00:00
Fresno,399.0,2020-10-02T00:00:00
Fresno,399.0,2020-10-03T00:00:00
Fresno,399.0,2020-10-04T00:00:00
Fresno,399.0,2020-10-05T00:00:00
Fresno,406.0,2020-10-06T00:00:00
Fresno,406.0,2020-10-07T00:00:00
Fresno,406.0,2020-10-08T00:00:00
Fresno,406.0,2020-10-09T00:00:00
Fresno,406.0,2020-10-10T00:00:00
Fresno,406.0,2020-10-11T00:00:00
