county,totalcountdeaths,date
Los Angeles,0.0,2020-03-18T00:00:00
Los Angeles,0.0,2020-03-19T00:00:00
Los Angeles,1.0,2020-03-20T00:00:00
Los Angeles,2.0,2020-03-21T00:00:00
Los Angeles,3.0,2020-03-22T00:00:00
Los Angeles,4.0,2020-03-23T00:00:00
Los Angeles,11.0,2020-03-24T00:00:00
Los Angeles,10.0,2020-03-25T00:00:00
Los Angeles,18.0,2020-03-26T00:00:00
Los Angeles,26.0,2020-03-27T00:00:00
Los Angeles,32.0,2020-03-28T00:00:00
Los Angeles,37.0,2020-03-29T00:00:00
Los Angeles,44.0,2020-03-30T00:00:00
Los Angeles,53.0,2020-03-31T00:00:00
Los Angeles,66.0,2020-04-01T00:00:00
Los Angeles,79.0,2020-04-02T00:00:00
Los Angeles,91.0,2020-04-03T00:00:00
Los Angeles,117.0,2020-04-04T00:00:00
Los Angeles,130.0,2020-04-05T00:00:00
Los Angeles,145.0,2020-04-06T00:00:00
Los Angeles,170.0,2020-04-07T00:00:00
Los Angeles,196.0,2020-04-08T00:00:00
Los Angeles,220.0,2020-04-09T00:00:00
Los Angeles,241.0,2020-04-10T00:00:00
Los Angeles,265.0,2020-04-11T00:00:00
Los Angeles,296.0,2020-04-12T00:00:00
Los Angeles,320.0,2020-04-13T00:00:00
Los Angeles,360.0,2020-04-14T00:00:00
Los Angeles,402.0,2020-04-15T00:00:00
Los Angeles,455.0,2020-04-16T00:00:00
Los Angeles,495.0,2020-04-17T00:00:00
Los Angeles,576.0,2020-04-18T00:00:00
Los Angeles,600.0,2020-04-19T00:00:00
Los Angeles,617.0,2020-04-20T00:00:00
Los Angeles,663.0,2020-04-21T00:00:00
Los Angeles,729.0,2020-04-22T00:00:00
Los Angeles,797.0,2020-04-23T00:00:00
Los Angeles,848.0,2020-04-24T00:00:00
Los Angeles,895.0,2020-04-25T00:00:00
Los Angeles,913.0,2020-04-26T00:00:00
Los Angeles,942.0,2020-04-27T00:00:00
