county,totalcountdeaths,date
Alameda Contra Costa,0,2020-03-18T00:00:00
Alameda Contra Costa,0,2020-03-19T00:00:00
Alameda Contra Costa,1,2020-03-20T00:00:00
Alameda Contra Costa,1,2020-03-21T00:00:00
Alameda Contra Costa,2,2020-03-22T00:00:00
Alameda Contra Costa,3,2020-03-23T00:00:00
Alameda Contra Costa,3,2020-03-24T00:00:00
Alameda Contra Costa,4,2020-03-25T00:00:00
Alameda Contra Costa,6,2020-03-26T00:00:00
Alameda Contra Costa,6,2020-03-27T00:00:00
Alameda Contra Costa,8,2020-03-28T00:00:00
Alameda Contra Costa,9,2020-03-29T00:00:00
Alameda Contra Costa,10,2020-03-30T00:00:00
Alameda Contra Costa,10,2020-03-31T00:00:00
Alameda Contra Costa,11,2020-04-01T00:00:00
Alameda Contra Costa,13,2020-04-02T00:00:00
Alameda Contra Costa,16,2020-04-03T00:00:00
Alameda Contra Costa,17,2020-04-04T00:00:00
Alameda Contra Costa,18,2020-04-05T00:00:00
Alameda Contra Costa,20,2020-04-06T00:00:00
Alameda Contra Costa,21,2020-04-07T00:00:00
Alameda Contra Costa,22,2020-04-08T00:00:00
Alameda Contra Costa,24,2020-04-09T00:00:00
Alameda Contra Costa,35,2020-04-10T00:00:00
Alameda Contra Costa,38,2020-04-11T00:00:00
Alameda Contra Costa,38,2020-04-12T00:00:00
Alameda Contra Costa,44,2020-04-13T00:00:00
Alameda Contra Costa,50,2020-04-14T00:00:00
Alameda Contra Costa,51,2020-04-15T00:00:00
Alameda Contra Costa,60,2020-04-16T00:00:00
Alameda Contra Costa,63,2020-04-17T00:00:00
Alameda Contra Costa,63,2020-04-18T00:00:00
Alameda Contra Costa,64,2020-04-19T00:00:00
Alameda Contra Costa,72,2020-04-20T00:00:00
Alameda Contra Costa,73,2020-04-21T00:00:00
Alameda Contra Costa,75,2020-04-22T00:00:00
Alameda Contra Costa,79,2020-04-23T00:00:00
Alameda Contra Costa,79,2020-04-24T00:00:00
Alameda Contra Costa,81,2020-04-25T00:00:00
Alameda Contra Costa,81,2020-04-26T00:00:00
Alameda Contra Costa,84,2020-04-27T00:00:00
Alameda Contra Costa,84,2020-04-28T00:00:00
Alameda Contra Costa,88,2020-04-29T00:00:00
Alameda Contra Costa,90,2020-04-30T00:00:00
Alameda Contra Costa,91,2020-05-01T00:00:00
Alameda Contra Costa,91,2020-05-02T00:00:00
Alameda Contra Costa,93,2020-05-03T00:00:00
Alameda Contra Costa,93,2020-05-04T00:00:00
Alameda Contra Costa,98,2020-05-05T00:00:00
Alameda Contra Costa,98,2020-05-06T00:00:00
Alameda Contra Costa,98,2020-05-07T00:00:00
Alameda Contra Costa,101,2020-05-08T00:00:00
Alameda Contra Costa,107,2020-05-09T00:00:00
