county,totalcountdeaths,date
Ventura,0.0,2020-03-18T00:00:00
Ventura,0.0,2020-03-19T00:00:00
Ventura,0.0,2020-03-20T00:00:00
Ventura,0.0,2020-03-21T00:00:00
Ventura,0.0,2020-03-22T00:00:00
Ventura,0.0,2020-03-23T00:00:00
Ventura,1.0,2020-03-24T00:00:00
Ventura,1.0,2020-03-25T00:00:00
Ventura,1.0,2020-03-26T00:00:00
Ventura,2.0,2020-03-27T00:00:00
Ventura,2.0,2020-03-28T00:00:00
Ventura,2.0,2020-03-29T00:00:00
Ventura,2.0,2020-03-30T00:00:00
Ventura,4.0,2020-03-31T00:00:00
Ventura,5.0,2020-04-01T00:00:00
Ventura,5.0,2020-04-02T00:00:00
Ventura,6.0,2020-04-03T00:00:00
Ventura,6.0,2020-04-04T00:00:00
Ventura,6.0,2020-04-05T00:00:00
Ventura,6.0,2020-04-06T00:00:00
Ventura,6.0,2020-04-07T00:00:00
Ventura,7.0,2020-04-08T00:00:00
Ventura,9.0,2020-04-09T00:00:00
Ventura,9.0,2020-04-10T00:00:00
Ventura,9.0,2020-04-11T00:00:00
Ventura,9.0,2020-04-12T00:00:00
Ventura,9.0,2020-04-13T00:00:00
Ventura,10.0,2020-04-14T00:00:00
Ventura,13.0,2020-04-15T00:00:00
Ventura,13.0,2020-04-16T00:00:00
Ventura,13.0,2020-04-17T00:00:00
Ventura,13.0,2020-04-18T00:00:00
Ventura,13.0,2020-04-19T00:00:00
Ventura,13.0,2020-04-20T00:00:00
Ventura,13.0,2020-04-21T00:00:00
Ventura,14.0,2020-04-22T00:00:00
Ventura,16.0,2020-04-23T00:00:00
Ventura,16.0,2020-04-24T00:00:00
Ventura,16.0,2020-04-25T00:00:00
Ventura,17.0,2020-04-26T00:00:00
Ventura,17.0,2020-04-27T00:00:00
Ventura,17.0,2020-04-28T00:00:00
Ventura,18.0,2020-04-29T00:00:00
Ventura,18.0,2020-04-30T00:00:00
Ventura,18.0,2020-05-01T00:00:00
Ventura,19.0,2020-05-02T00:00:00
Ventura,19.0,2020-05-03T00:00:00
Ventura,19.0,2020-05-04T00:00:00
Ventura,19.0,2020-05-05T00:00:00
Ventura,19.0,2020-05-06T00:00:00
Ventura,19.0,2020-05-07T00:00:00
Ventura,19.0,2020-05-08T00:00:00
Ventura,19.0,2020-05-09T00:00:00
Ventura,19.0,2020-05-10T00:00:00
Ventura,19.0,2020-05-11T00:00:00
Ventura,19.0,2020-05-12T00:00:00
Ventura,24.0,2020-05-13T00:00:00
Ventura,25.0,2020-05-14T00:00:00
Ventura,25.0,2020-05-15T00:00:00
Ventura,25.0,2020-05-16T00:00:00
Ventura,25.0,2020-05-17T00:00:00
Ventura,27.0,2020-05-18T00:00:00
Ventura,28.0,2020-05-19T00:00:00
Ventura,28.0,2020-05-20T00:00:00
Ventura,29.0,2020-05-21T00:00:00
Ventura,30.0,2020-05-22T00:00:00
Ventura,30.0,2020-05-23T00:00:00
Ventura,30.0,2020-05-24T00:00:00
Ventura,30.0,2020-05-25T00:00:00
Ventura,30.0,2020-05-26T00:00:00
Ventura,32.0,2020-05-27T00:00:00
Ventura,32.0,2020-05-28T00:00:00
Ventura,32.0,2020-05-29T00:00:00
Ventura,33.0,2020-05-30T00:00:00
Ventura,33.0,2020-05-31T00:00:00
Ventura,34.0,2020-06-01T00:00:00
Ventura,34.0,2020-06-02T00:00:00
Ventura,34.0,2020-06-03T00:00:00
Ventura,35.0,2020-06-04T00:00:00
Ventura,35.0,2020-06-05T00:00:00
Ventura,35.0,2020-06-06T00:00:00
Ventura,35.0,2020-06-07T00:00:00
Ventura,35.0,2020-06-08T00:00:00
Ventura,35.0,2020-06-09T00:00:00
Ventura,38.0,2020-06-10T00:00:00
Ventura,38.0,2020-06-11T00:00:00
Ventura,40.0,2020-06-12T00:00:00
Ventura,40.0,2020-06-13T00:00:00
Ventura,40.0,2020-06-14T00:00:00
Ventura,41.0,2020-06-15T00:00:00
Ventura,41.0,2020-06-16T00:00:00
Ventura,41.0,2020-06-17T00:00:00
Ventura,41.0,2020-06-18T00:00:00
Ventura,42.0,2020-06-19T00:00:00
Ventura,42.0,2020-06-20T00:00:00
Ventura,42.0,2020-06-21T00:00:00
Ventura,43.0,2020-06-22T00:00:00
Ventura,43.0,2020-06-23T00:00:00
Ventura,44.0,2020-06-24T00:00:00
Ventura,44.0,2020-06-25T00:00:00
Ventura,44.0,2020-06-26T00:00:00
Ventura,44.0,2020-06-27T00:00:00
Ventura,44.0,2020-06-28T00:00:00
Ventura,45.0,2020-06-29T00:00:00
Ventura,46.0,2020-06-30T00:00:00
Ventura,46.0,2020-07-01T00:00:00
Ventura,47.0,2020-07-02T00:00:00
Ventura,47.0,2020-07-03T00:00:00
Ventura,47.0,2020-07-04T00:00:00
Ventura,47.0,2020-07-05T00:00:00
Ventura,50.0,2020-07-06T00:00:00
Ventura,50.0,2020-07-07T00:00:00
Ventura,50.0,2020-07-08T00:00:00
Ventura,53.0,2020-07-09T00:00:00
Ventura,53.0,2020-07-10T00:00:00
Ventura,53.0,2020-07-11T00:00:00
Ventura,53.0,2020-07-12T00:00:00
Ventura,53.0,2020-07-13T00:00:00
Ventura,53.0,2020-07-14T00:00:00
Ventura,53.0,2020-07-15T00:00:00
Ventura,56.0,2020-07-16T00:00:00
Ventura,56.0,2020-07-17T00:00:00
Ventura,56.0,2020-07-18T00:00:00
Ventura,56.0,2020-07-19T00:00:00
Ventura,57.0,2020-07-20T00:00:00
Ventura,62.0,2020-07-21T00:00:00
Ventura,63.0,2020-07-22T00:00:00
Ventura,63.0,2020-07-23T00:00:00
Ventura,67.0,2020-07-24T00:00:00
Ventura,67.0,2020-07-25T00:00:00
Ventura,67.0,2020-07-26T00:00:00
Ventura,67.0,2020-07-27T00:00:00
Ventura,71.0,2020-07-28T00:00:00
Ventura,73.0,2020-07-29T00:00:00
Ventura,74.0,2020-07-30T00:00:00
Ventura,76.0,2020-07-31T00:00:00
Ventura,76.0,2020-08-01T00:00:00
Ventura,76.0,2020-08-02T00:00:00
Ventura,76.0,2020-08-03T00:00:00
Ventura,77.0,2020-08-04T00:00:00
Ventura,79.0,2020-08-05T00:00:00
Ventura,82.0,2020-08-06T00:00:00
Ventura,89.0,2020-08-07T00:00:00
Ventura,89.0,2020-08-08T00:00:00
Ventura,89.0,2020-08-09T00:00:00
Ventura,92.0,2020-08-10T00:00:00
Ventura,93.0,2020-08-11T00:00:00
Ventura,93.0,2020-08-12T00:00:00
Ventura,94.0,2020-08-13T00:00:00
Ventura,95.0,2020-08-14T00:00:00
Ventura,95.0,2020-08-15T00:00:00
Ventura,95.0,2020-08-16T00:00:00
Ventura,96.0,2020-08-17T00:00:00
Ventura,97.0,2020-08-18T00:00:00
Ventura,98.0,2020-08-19T00:00:00
Ventura,101.0,2020-08-20T00:00:00
Ventura,102.0,2020-08-21T00:00:00
Ventura,102.0,2020-08-22T00:00:00
Ventura,102.0,2020-08-23T00:00:00
Ventura,103.0,2020-08-24T00:00:00
Ventura,105.0,2020-08-25T00:00:00
Ventura,107.0,2020-08-26T00:00:00
Ventura,110.0,2020-08-27T00:00:00
Ventura,115.0,2020-08-28T00:00:00
Ventura,115.0,2020-08-29T00:00:00
Ventura,115.0,2020-08-30T00:00:00
Ventura,116.0,2020-08-31T00:00:00
Ventura,116.0,2020-09-01T00:00:00
Ventura,116.0,2020-09-02T00:00:00
Ventura,116.0,2020-09-03T00:00:00
Ventura,118.0,2020-09-04T00:00:00
Ventura,118.0,2020-09-05T00:00:00
Ventura,118.0,2020-09-06T00:00:00
Ventura,118.0,2020-09-07T00:00:00
Ventura,123.0,2020-09-08T00:00:00
Ventura,126.0,2020-09-09T00:00:00
Ventura,129.0,2020-09-10T00:00:00
Ventura,129.0,2020-09-11T00:00:00
Ventura,129.0,2020-09-12T00:00:00
Ventura,129.0,2020-09-13T00:00:00
Ventura,135.0,2020-09-14T00:00:00
Ventura,138.0,2020-09-15T00:00:00
Ventura,141.0,2020-09-16T00:00:00
Ventura,142.0,2020-09-17T00:00:00
Ventura,143.0,2020-09-18T00:00:00
Ventura,143.0,2020-09-19T00:00:00
Ventura,143.0,2020-09-20T00:00:00
Ventura,146.0,2020-09-21T00:00:00
Ventura,146.0,2020-09-22T00:00:00
Ventura,146.0,2020-09-23T00:00:00
Ventura,147.0,2020-09-24T00:00:00
Ventura,150.0,2020-09-25T00:00:00
Ventura,150.0,2020-09-26T00:00:00
Ventura,150.0,2020-09-27T00:00:00
Ventura,150.0,2020-09-28T00:00:00
Ventura,150.0,2020-09-29T00:00:00
Ventura,150.0,2020-09-30T00:00:00
Ventura,152.0,2020-10-01T00:00:00
Ventura,153.0,2020-10-02T00:00:00
Ventura,153.0,2020-10-03T00:00:00
Ventura,153.0,2020-10-04T00:00:00
Ventura,154.0,2020-10-05T00:00:00
Ventura,154.0,2020-10-06T00:00:00
Ventura,157.0,2020-10-07T00:00:00
Ventura,157.0,2020-10-08T00:00:00
Ventura,158.0,2020-10-09T00:00:00
Ventura,158.0,2020-10-10T00:00:00
Ventura,158.0,2020-10-11T00:00:00
