county,totalcountdeaths,date
Riverside San Bernardino,2,2020-03-18T00:00:00
Riverside San Bernardino,3,2020-03-19T00:00:00
Riverside San Bernardino,3,2020-03-20T00:00:00
Riverside San Bernardino,3,2020-03-21T00:00:00
Riverside San Bernardino,5,2020-03-22T00:00:00
Riverside San Bernardino,5,2020-03-23T00:00:00
Riverside San Bernardino,5,2020-03-24T00:00:00
Riverside San Bernardino,6,2020-03-25T00:00:00
Riverside San Bernardino,8,2020-03-26T00:00:00
Riverside San Bernardino,9,2020-03-27T00:00:00
Riverside San Bernardino,9,2020-03-28T00:00:00
Riverside San Bernardino,9,2020-03-29T00:00:00
Riverside San Bernardino,11,2020-03-30T00:00:00
Riverside San Bernardino,13,2020-03-31T00:00:00
Riverside San Bernardino,16,2020-04-01T00:00:00
Riverside San Bernardino,21,2020-04-02T00:00:00
Riverside San Bernardino,25,2020-04-03T00:00:00
Riverside San Bernardino,28,2020-04-04T00:00:00
Riverside San Bernardino,30,2020-04-05T00:00:00
Riverside San Bernardino,30,2020-04-06T00:00:00
Riverside San Bernardino,43,2020-04-07T00:00:00
Riverside San Bernardino,50,2020-04-08T00:00:00
Riverside San Bernardino,56,2020-04-09T00:00:00
Riverside San Bernardino,62,2020-04-10T00:00:00
Riverside San Bernardino,66,2020-04-11T00:00:00
Riverside San Bernardino,69,2020-04-12T00:00:00
Riverside San Bernardino,81,2020-04-13T00:00:00
Riverside San Bernardino,85,2020-04-14T00:00:00
Riverside San Bernardino,96,2020-04-15T00:00:00
Riverside San Bernardino,104,2020-04-16T00:00:00
Riverside San Bernardino,128,2020-04-17T00:00:00
Riverside San Bernardino,135,2020-04-18T00:00:00
Riverside San Bernardino,141,2020-04-19T00:00:00
Riverside San Bernardino,149,2020-04-20T00:00:00
Riverside San Bernardino,163,2020-04-21T00:00:00
Riverside San Bernardino,181,2020-04-22T00:00:00
Riverside San Bernardino,187,2020-04-23T00:00:00
Riverside San Bernardino,198,2020-04-24T00:00:00
Riverside San Bernardino,200,2020-04-25T00:00:00
Riverside San Bernardino,213,2020-04-26T00:00:00
Riverside San Bernardino,220,2020-04-27T00:00:00
Riverside San Bernardino,227,2020-04-28T00:00:00
Riverside San Bernardino,240,2020-04-29T00:00:00
Riverside San Bernardino,252,2020-04-30T00:00:00
Riverside San Bernardino,265,2020-05-01T00:00:00
Riverside San Bernardino,266,2020-05-02T00:00:00
Riverside San Bernardino,275,2020-05-03T00:00:00
Riverside San Bernardino,283,2020-05-04T00:00:00
Riverside San Bernardino,291,2020-05-05T00:00:00
Riverside San Bernardino,298,2020-05-06T00:00:00
Riverside San Bernardino,313,2020-05-07T00:00:00
Riverside San Bernardino,329,2020-05-08T00:00:00
Riverside San Bernardino,333,2020-05-09T00:00:00
Riverside San Bernardino,336,2020-05-10T00:00:00
Riverside San Bernardino,349,2020-05-11T00:00:00
Riverside San Bernardino,362,2020-05-12T00:00:00
Riverside San Bernardino,384,2020-05-13T00:00:00
Riverside San Bernardino,389,2020-05-14T00:00:00
Riverside San Bernardino,405,2020-05-15T00:00:00
Riverside San Bernardino,414,2020-05-16T00:00:00
Riverside San Bernardino,418,2020-05-17T00:00:00
Riverside San Bernardino,423,2020-05-18T00:00:00
Riverside San Bernardino,431,2020-05-19T00:00:00
Riverside San Bernardino,441,2020-05-20T00:00:00
Riverside San Bernardino,453,2020-05-21T00:00:00
Riverside San Bernardino,471,2020-05-22T00:00:00
Riverside San Bernardino,475,2020-05-23T00:00:00
Riverside San Bernardino,480,2020-05-24T00:00:00
Riverside San Bernardino,485,2020-05-25T00:00:00
Riverside San Bernardino,490,2020-05-26T00:00:00
Riverside San Bernardino,503,2020-05-27T00:00:00
Riverside San Bernardino,521,2020-05-28T00:00:00
Riverside San Bernardino,538,2020-05-29T00:00:00
Riverside San Bernardino,543,2020-05-30T00:00:00
Riverside San Bernardino,548,2020-05-31T00:00:00
Riverside San Bernardino,548,2020-06-01T00:00:00
Riverside San Bernardino,552,2020-06-02T00:00:00
Riverside San Bernardino,554,2020-06-03T00:00:00
Riverside San Bernardino,555,2020-06-04T00:00:00
Riverside San Bernardino,572,2020-06-05T00:00:00
Riverside San Bernardino,579,2020-06-06T00:00:00
Riverside San Bernardino,579,2020-06-07T00:00:00
Riverside San Bernardino,588,2020-06-08T00:00:00
Riverside San Bernardino,589,2020-06-09T00:00:00
Riverside San Bernardino,605,2020-06-10T00:00:00
Riverside San Bernardino,607,2020-06-11T00:00:00
Riverside San Bernardino,612,2020-06-12T00:00:00
Riverside San Bernardino,612,2020-06-13T00:00:00
Riverside San Bernardino,612,2020-06-14T00:00:00
Riverside San Bernardino,613,2020-06-15T00:00:00
Riverside San Bernardino,624,2020-06-16T00:00:00
Riverside San Bernardino,628,2020-06-17T00:00:00
Riverside San Bernardino,638,2020-06-18T00:00:00
Riverside San Bernardino,640,2020-06-19T00:00:00
Riverside San Bernardino,643,2020-06-20T00:00:00
Riverside San Bernardino,643,2020-06-21T00:00:00
Riverside San Bernardino,658,2020-06-22T00:00:00
Riverside San Bernardino,665,2020-06-23T00:00:00
Riverside San Bernardino,677,2020-06-24T00:00:00
Riverside San Bernardino,684,2020-06-25T00:00:00
Riverside San Bernardino,687,2020-06-26T00:00:00
Riverside San Bernardino,687,2020-06-27T00:00:00
Riverside San Bernardino,687,2020-06-28T00:00:00
Riverside San Bernardino,689,2020-06-29T00:00:00
Riverside San Bernardino,710,2020-06-30T00:00:00
Riverside San Bernardino,721,2020-07-01T00:00:00
Riverside San Bernardino,730,2020-07-02T00:00:00
Riverside San Bernardino,748,2020-07-03T00:00:00
Riverside San Bernardino,748,2020-07-04T00:00:00
Riverside San Bernardino,748,2020-07-05T00:00:00
Riverside San Bernardino,755,2020-07-06T00:00:00
Riverside San Bernardino,778,2020-07-07T00:00:00
Riverside San Bernardino,808,2020-07-08T00:00:00
Riverside San Bernardino,837,2020-07-09T00:00:00
Riverside San Bernardino,841,2020-07-10T00:00:00
Riverside San Bernardino,841,2020-07-11T00:00:00
Riverside San Bernardino,843,2020-07-12T00:00:00
Riverside San Bernardino,857,2020-07-13T00:00:00
Riverside San Bernardino,862,2020-07-14T00:00:00
Riverside San Bernardino,887,2020-07-15T00:00:00
Riverside San Bernardino,895,2020-07-16T00:00:00
Riverside San Bernardino,902,2020-07-17T00:00:00
Riverside San Bernardino,915,2020-07-18T00:00:00
Riverside San Bernardino,915,2020-07-19T00:00:00
Riverside San Bernardino,917,2020-07-20T00:00:00
Riverside San Bernardino,922,2020-07-21T00:00:00
Riverside San Bernardino,954,2020-07-22T00:00:00
Riverside San Bernardino,995,2020-07-23T00:00:00
Riverside San Bernardino,1009,2020-07-24T00:00:00
Riverside San Bernardino,1009,2020-07-25T00:00:00
Riverside San Bernardino,1020,2020-07-26T00:00:00
Riverside San Bernardino,1055,2020-07-27T00:00:00
Riverside San Bernardino,1067,2020-07-28T00:00:00
Riverside San Bernardino,1101,2020-07-29T00:00:00
Riverside San Bernardino,1091,2020-07-30T00:00:00
Riverside San Bernardino,1104,2020-07-31T00:00:00
Riverside San Bernardino,1112,2020-08-01T00:00:00
Riverside San Bernardino,1112,2020-08-02T00:00:00
Riverside San Bernardino,1155,2020-08-03T00:00:00
Riverside San Bernardino,1215,2020-08-04T00:00:00
Riverside San Bernardino,1239,2020-08-05T00:00:00
Riverside San Bernardino,1260,2020-08-06T00:00:00
Riverside San Bernardino,1296,2020-08-07T00:00:00
Riverside San Bernardino,1301,2020-08-08T00:00:00
Riverside San Bernardino,1345,2020-08-09T00:00:00
Riverside San Bernardino,1366,2020-08-10T00:00:00
Riverside San Bernardino,1373,2020-08-11T00:00:00
Riverside San Bernardino,1408,2020-08-12T00:00:00
Riverside San Bernardino,1437,2020-08-13T00:00:00
Riverside San Bernardino,1442,2020-08-14T00:00:00
Riverside San Bernardino,1449,2020-08-15T00:00:00
Riverside San Bernardino,1449,2020-08-16T00:00:00
Riverside San Bernardino,1480,2020-08-17T00:00:00
Riverside San Bernardino,1529,2020-08-18T00:00:00
Riverside San Bernardino,1538,2020-08-19T00:00:00
Riverside San Bernardino,1547,2020-08-20T00:00:00
Riverside San Bernardino,1556,2020-08-21T00:00:00
Riverside San Bernardino,1618,2020-08-22T00:00:00
Riverside San Bernardino,1618,2020-08-23T00:00:00
Riverside San Bernardino,1664,2020-08-24T00:00:00
Riverside San Bernardino,1673,2020-08-25T00:00:00
Riverside San Bernardino,1693,2020-08-26T00:00:00
Riverside San Bernardino,1712,2020-08-27T00:00:00
Riverside San Bernardino,1723,2020-08-28T00:00:00
Riverside San Bernardino,1723,2020-08-29T00:00:00
Riverside San Bernardino,1723,2020-08-30T00:00:00
Riverside San Bernardino,1735,2020-08-31T00:00:00
Riverside San Bernardino,1762,2020-09-01T00:00:00
Riverside San Bernardino,1776,2020-09-02T00:00:00
Riverside San Bernardino,1797,2020-09-03T00:00:00
Riverside San Bernardino,1811,2020-09-04T00:00:00
Riverside San Bernardino,1832,2020-09-05T00:00:00
Riverside San Bernardino,1832,2020-09-06T00:00:00
Riverside San Bernardino,1832,2020-09-07T00:00:00
Riverside San Bernardino,1840,2020-09-08T00:00:00
Riverside San Bernardino,1876,2020-09-09T00:00:00
Riverside San Bernardino,1890,2020-09-10T00:00:00
Riverside San Bernardino,1903,2020-09-11T00:00:00
Riverside San Bernardino,1917,2020-09-12T00:00:00
Riverside San Bernardino,1935,2020-09-13T00:00:00
Riverside San Bernardino,1950,2020-09-14T00:00:00
Riverside San Bernardino,1960,2020-09-15T00:00:00
Riverside San Bernardino,1974,2020-09-16T00:00:00
Riverside San Bernardino,1982,2020-09-17T00:00:00
Riverside San Bernardino,2011,2020-09-18T00:00:00
Riverside San Bernardino,2061,2020-09-19T00:00:00
Riverside San Bernardino,2061,2020-09-20T00:00:00
Riverside San Bernardino,2070,2020-09-21T00:00:00
Riverside San Bernardino,2080,2020-09-22T00:00:00
Riverside San Bernardino,2081,2020-09-23T00:00:00
Riverside San Bernardino,2097,2020-09-24T00:00:00
Riverside San Bernardino,2111,2020-09-25T00:00:00
Riverside San Bernardino,2114,2020-09-26T00:00:00
Riverside San Bernardino,2114,2020-09-27T00:00:00
Riverside San Bernardino,2131,2020-09-28T00:00:00
Riverside San Bernardino,2168,2020-09-29T00:00:00
Riverside San Bernardino,2181,2020-09-30T00:00:00
Riverside San Bernardino,2181,2020-10-01T00:00:00
Riverside San Bernardino,2193,2020-10-02T00:00:00
Riverside San Bernardino,2193,2020-10-03T00:00:00
Riverside San Bernardino,2193,2020-10-04T00:00:00
Riverside San Bernardino,2200,2020-10-05T00:00:00
Riverside San Bernardino,2210,2020-10-06T00:00:00
Riverside San Bernardino,2214,2020-10-07T00:00:00
Riverside San Bernardino,2222,2020-10-08T00:00:00
Riverside San Bernardino,2240,2020-10-09T00:00:00
Riverside San Bernardino,2242,2020-10-10T00:00:00
Riverside San Bernardino,2242,2020-10-11T00:00:00
