county,totalcountdeaths,date
San Francisco San Mateo,1,2020-03-18T00:00:00
San Francisco San Mateo,1,2020-03-19T00:00:00
San Francisco San Mateo,1,2020-03-20T00:00:00
San Francisco San Mateo,1,2020-03-21T00:00:00
San Francisco San Mateo,1,2020-03-22T00:00:00
San Francisco San Mateo,1,2020-03-23T00:00:00
San Francisco San Mateo,3,2020-03-24T00:00:00
San Francisco San Mateo,7,2020-03-25T00:00:00
San Francisco San Mateo,6,2020-03-26T00:00:00
San Francisco San Mateo,9,2020-03-27T00:00:00
San Francisco San Mateo,12,2020-03-28T00:00:00
San Francisco San Mateo,17,2020-03-29T00:00:00
San Francisco San Mateo,16,2020-03-30T00:00:00
San Francisco San Mateo,17,2020-03-31T00:00:00
San Francisco San Mateo,19,2020-04-01T00:00:00
San Francisco San Mateo,19,2020-04-02T00:00:00
San Francisco San Mateo,19,2020-04-03T00:00:00
San Francisco San Mateo,23,2020-04-04T00:00:00
San Francisco San Mateo,25,2020-04-05T00:00:00
San Francisco San Mateo,26,2020-04-06T00:00:00
San Francisco San Mateo,28,2020-04-07T00:00:00
San Francisco San Mateo,29,2020-04-08T00:00:00
San Francisco San Mateo,31,2020-04-09T00:00:00
San Francisco San Mateo,33,2020-04-10T00:00:00
San Francisco San Mateo,37,2020-04-11T00:00:00
San Francisco San Mateo,37,2020-04-12T00:00:00
San Francisco San Mateo,40,2020-04-13T00:00:00
San Francisco San Mateo,40,2020-04-14T00:00:00
San Francisco San Mateo,42,2020-04-15T00:00:00
San Francisco San Mateo,42,2020-04-16T00:00:00
San Francisco San Mateo,48,2020-04-17T00:00:00
San Francisco San Mateo,48,2020-04-18T00:00:00
San Francisco San Mateo,51,2020-04-19T00:00:00
San Francisco San Mateo,51,2020-04-20T00:00:00
San Francisco San Mateo,51,2020-04-21T00:00:00
San Francisco San Mateo,60,2020-04-22T00:00:00
San Francisco San Mateo,60,2020-04-23T00:00:00
San Francisco San Mateo,65,2020-04-24T00:00:00
San Francisco San Mateo,65,2020-04-25T00:00:00
San Francisco San Mateo,69,2020-04-26T00:00:00
San Francisco San Mateo,69,2020-04-27T00:00:00
San Francisco San Mateo,71,2020-04-28T00:00:00
San Francisco San Mateo,73,2020-04-29T00:00:00
San Francisco San Mateo,78,2020-04-30T00:00:00
San Francisco San Mateo,81,2020-05-01T00:00:00
San Francisco San Mateo,81,2020-05-02T00:00:00
San Francisco San Mateo,83,2020-05-03T00:00:00
San Francisco San Mateo,84,2020-05-04T00:00:00
San Francisco San Mateo,87,2020-05-05T00:00:00
San Francisco San Mateo,87,2020-05-06T00:00:00
San Francisco San Mateo,89,2020-05-07T00:00:00
San Francisco San Mateo,95,2020-05-08T00:00:00
San Francisco San Mateo,99,2020-05-09T00:00:00
San Francisco San Mateo,99,2020-05-10T00:00:00
San Francisco San Mateo,100,2020-05-11T00:00:00
San Francisco San Mateo,101,2020-05-12T00:00:00
San Francisco San Mateo,101,2020-05-13T00:00:00
San Francisco San Mateo,101,2020-05-14T00:00:00
San Francisco San Mateo,103,2020-05-15T00:00:00
San Francisco San Mateo,104,2020-05-16T00:00:00
San Francisco San Mateo,104,2020-05-17T00:00:00
San Francisco San Mateo,104,2020-05-18T00:00:00
San Francisco San Mateo,111,2020-05-19T00:00:00
San Francisco San Mateo,112,2020-05-20T00:00:00
San Francisco San Mateo,112,2020-05-21T00:00:00
San Francisco San Mateo,116,2020-05-22T00:00:00
San Francisco San Mateo,116,2020-05-23T00:00:00
San Francisco San Mateo,116,2020-05-24T00:00:00
San Francisco San Mateo,116,2020-05-25T00:00:00
San Francisco San Mateo,122,2020-05-26T00:00:00
San Francisco San Mateo,122,2020-05-27T00:00:00
San Francisco San Mateo,122,2020-05-28T00:00:00
San Francisco San Mateo,125,2020-05-29T00:00:00
San Francisco San Mateo,125,2020-05-30T00:00:00
San Francisco San Mateo,126,2020-05-31T00:00:00
San Francisco San Mateo,127,2020-06-01T00:00:00
San Francisco San Mateo,127,2020-06-02T00:00:00
San Francisco San Mateo,127,2020-06-03T00:00:00
San Francisco San Mateo,127,2020-06-04T00:00:00
San Francisco San Mateo,131,2020-06-05T00:00:00
San Francisco San Mateo,131,2020-06-06T00:00:00
San Francisco San Mateo,131,2020-06-07T00:00:00
San Francisco San Mateo,131,2020-06-08T00:00:00
San Francisco San Mateo,137,2020-06-09T00:00:00
San Francisco San Mateo,137,2020-06-10T00:00:00
San Francisco San Mateo,137,2020-06-11T00:00:00
San Francisco San Mateo,143,2020-06-12T00:00:00
San Francisco San Mateo,143,2020-06-13T00:00:00
San Francisco San Mateo,144,2020-06-14T00:00:00
San Francisco San Mateo,144,2020-06-15T00:00:00
San Francisco San Mateo,145,2020-06-16T00:00:00
San Francisco San Mateo,146,2020-06-17T00:00:00
San Francisco San Mateo,146,2020-06-18T00:00:00
San Francisco San Mateo,150,2020-06-19T00:00:00
San Francisco San Mateo,150,2020-06-20T00:00:00
San Francisco San Mateo,150,2020-06-21T00:00:00
San Francisco San Mateo,151,2020-06-22T00:00:00
San Francisco San Mateo,151,2020-06-23T00:00:00
San Francisco San Mateo,152,2020-06-24T00:00:00
San Francisco San Mateo,152,2020-06-25T00:00:00
