county,totalcountdeaths,date
San Diego,0.0,2020-03-18T00:00:00
San Diego,0.0,2020-03-19T00:00:00
San Diego,0.0,2020-03-20T00:00:00
San Diego,0.0,2020-03-21T00:00:00
San Diego,0.0,2020-03-22T00:00:00
San Diego,1.0,2020-03-23T00:00:00
San Diego,2.0,2020-03-24T00:00:00
San Diego,2.0,2020-03-25T00:00:00
San Diego,2.0,2020-03-26T00:00:00
San Diego,5.0,2020-03-27T00:00:00
San Diego,7.0,2020-03-28T00:00:00
San Diego,7.0,2020-03-29T00:00:00
San Diego,7.0,2020-03-30T00:00:00
San Diego,9.0,2020-03-31T00:00:00
San Diego,11.0,2020-04-01T00:00:00
San Diego,16.0,2020-04-02T00:00:00
San Diego,17.0,2020-04-03T00:00:00
San Diego,18.0,2020-04-04T00:00:00
San Diego,19.0,2020-04-05T00:00:00
San Diego,19.0,2020-04-06T00:00:00
San Diego,31.0,2020-04-07T00:00:00
San Diego,36.0,2020-04-08T00:00:00
San Diego,40.0,2020-04-09T00:00:00
San Diego,54.0,2020-04-10T00:00:00
San Diego,54.0,2020-04-11T00:00:00
San Diego,55.0,2020-04-12T00:00:00
San Diego,66.0,2020-04-13T00:00:00
San Diego,67.0,2020-04-14T00:00:00
San Diego,67.0,2020-04-15T00:00:00
San Diego,77.0,2020-04-16T00:00:00
San Diego,83.0,2020-04-17T00:00:00
San Diego,83.0,2020-04-18T00:00:00
San Diego,83.0,2020-04-19T00:00:00
San Diego,102.0,2020-04-20T00:00:00
San Diego,109.0,2020-04-21T00:00:00
San Diego,112.0,2020-04-22T00:00:00
San Diego,112.0,2020-04-23T00:00:00
San Diego,119.0,2020-04-24T00:00:00
San Diego,119.0,2020-04-25T00:00:00
San Diego,123.0,2020-04-26T00:00:00
San Diego,128.0,2020-04-27T00:00:00
San Diego,133.0,2020-04-28T00:00:00
San Diego,140.0,2020-04-29T00:00:00
San Diego,143.0,2020-04-30T00:00:00
San Diego,150.0,2020-05-01T00:00:00
San Diego,150.0,2020-05-02T00:00:00
San Diego,150.0,2020-05-03T00:00:00
San Diego,162.0,2020-05-04T00:00:00
San Diego,173.0,2020-05-05T00:00:00
San Diego,186.0,2020-05-06T00:00:00
San Diego,189.0,2020-05-07T00:00:00
San Diego,194.0,2020-05-08T00:00:00
San Diego,194.0,2020-05-09T00:00:00
San Diego,194.0,2020-05-10T00:00:00
San Diego,204.0,2020-05-11T00:00:00
San Diego,217.0,2020-05-12T00:00:00
San Diego,223.0,2020-05-13T00:00:00
San Diego,231.0,2020-05-14T00:00:00
San Diego,235.0,2020-05-15T00:00:00
San Diego,235.0,2020-05-16T00:00:00
San Diego,242.0,2020-05-17T00:00:00
San Diego,242.0,2020-05-18T00:00:00
San Diego,242.0,2020-05-19T00:00:00
San Diego,262.0,2020-05-20T00:00:00
San Diego,262.0,2020-05-21T00:00:00
San Diego,271.0,2020-05-22T00:00:00
San Diego,275.0,2020-05-23T00:00:00
San Diego,275.0,2020-05-24T00:00:00
San Diego,275.0,2020-05-25T00:00:00
San Diego,290.0,2020-05-26T00:00:00
San Diego,297.0,2020-05-27T00:00:00
San Diego,307.0,2020-05-28T00:00:00
San Diego,312.0,2020-05-29T00:00:00
San Diego,312.0,2020-05-30T00:00:00
San Diego,312.0,2020-05-31T00:00:00
San Diego,312.0,2020-06-01T00:00:00
San Diego,312.0,2020-06-02T00:00:00
San Diego,312.0,2020-06-03T00:00:00
San Diego,312.0,2020-06-04T00:00:00
San Diego,312.0,2020-06-05T00:00:00
San Diego,312.0,2020-06-06T00:00:00
San Diego,312.0,2020-06-07T00:00:00
San Diego,312.0,2020-06-08T00:00:00
San Diego,312.0,2020-06-09T00:00:00
San Diego,312.0,2020-06-10T00:00:00
San Diego,312.0,2020-06-11T00:00:00
San Diego,312.0,2020-06-12T00:00:00
San Diego,320.0,2020-06-13T00:00:00
San Diego,320.0,2020-06-14T00:00:00
San Diego,320.0,2020-06-15T00:00:00
San Diego,323.0,2020-06-16T00:00:00
San Diego,327.0,2020-06-17T00:00:00
San Diego,331.0,2020-06-18T00:00:00
San Diego,332.0,2020-06-19T00:00:00
San Diego,338.0,2020-06-20T00:00:00
San Diego,338.0,2020-06-21T00:00:00
San Diego,338.0,2020-06-22T00:00:00
San Diego,338.0,2020-06-23T00:00:00
San Diego,347.0,2020-06-24T00:00:00
San Diego,352.0,2020-06-25T00:00:00
San Diego,358.0,2020-06-26T00:00:00
San Diego,360.0,2020-06-27T00:00:00
San Diego,361.0,2020-06-28T00:00:00
San Diego,361.0,2020-06-29T00:00:00
San Diego,365.0,2020-06-30T00:00:00
San Diego,372.0,2020-07-01T00:00:00
San Diego,377.0,2020-07-02T00:00:00
San Diego,387.0,2020-07-03T00:00:00
