county,totalcountdeaths,date
San Benito Santa Clara,6,2020-03-18T00:00:00
San Benito Santa Clara,8,2020-03-19T00:00:00
San Benito Santa Clara,9,2020-03-20T00:00:00
San Benito Santa Clara,11,2020-03-21T00:00:00
San Benito Santa Clara,14,2020-03-22T00:00:00
San Benito Santa Clara,14,2020-03-23T00:00:00
San Benito Santa Clara,18,2020-03-24T00:00:00
San Benito Santa Clara,21,2020-03-25T00:00:00
San Benito Santa Clara,21,2020-03-26T00:00:00
San Benito Santa Clara,26,2020-03-27T00:00:00
San Benito Santa Clara,28,2020-03-28T00:00:00
San Benito Santa Clara,31,2020-03-29T00:00:00
San Benito Santa Clara,32,2020-03-30T00:00:00
San Benito Santa Clara,31,2020-03-31T00:00:00
San Benito Santa Clara,34,2020-04-01T00:00:00
San Benito Santa Clara,39,2020-04-02T00:00:00
San Benito Santa Clara,40,2020-04-03T00:00:00
San Benito Santa Clara,40,2020-04-04T00:00:00
San Benito Santa Clara,43,2020-04-05T00:00:00
San Benito Santa Clara,44,2020-04-06T00:00:00
San Benito Santa Clara,48,2020-04-07T00:00:00
San Benito Santa Clara,49,2020-04-08T00:00:00
San Benito Santa Clara,51,2020-04-09T00:00:00
San Benito Santa Clara,54,2020-04-10T00:00:00
San Benito Santa Clara,54,2020-04-11T00:00:00
San Benito Santa Clara,55,2020-04-12T00:00:00
San Benito Santa Clara,62,2020-04-13T00:00:00
San Benito Santa Clara,68,2020-04-14T00:00:00
San Benito Santa Clara,68,2020-04-15T00:00:00
San Benito Santa Clara,71,2020-04-16T00:00:00
San Benito Santa Clara,75,2020-04-17T00:00:00
San Benito Santa Clara,75,2020-04-18T00:00:00
San Benito Santa Clara,81,2020-04-19T00:00:00
San Benito Santa Clara,85,2020-04-20T00:00:00
San Benito Santa Clara,90,2020-04-21T00:00:00
San Benito Santa Clara,96,2020-04-22T00:00:00
San Benito Santa Clara,97,2020-04-23T00:00:00
San Benito Santa Clara,100,2020-04-24T00:00:00
San Benito Santa Clara,101,2020-04-25T00:00:00
San Benito Santa Clara,104,2020-04-26T00:00:00
San Benito Santa Clara,107,2020-04-27T00:00:00
San Benito Santa Clara,108,2020-04-28T00:00:00
San Benito Santa Clara,110,2020-04-29T00:00:00
San Benito Santa Clara,113,2020-04-30T00:00:00
San Benito Santa Clara,115,2020-05-01T00:00:00
San Benito Santa Clara,117,2020-05-02T00:00:00
San Benito Santa Clara,118,2020-05-03T00:00:00
San Benito Santa Clara,121,2020-05-04T00:00:00
San Benito Santa Clara,125,2020-05-05T00:00:00
San Benito Santa Clara,128,2020-05-06T00:00:00
San Benito Santa Clara,129,2020-05-07T00:00:00
San Benito Santa Clara,132,2020-05-08T00:00:00
San Benito Santa Clara,132,2020-05-09T00:00:00
San Benito Santa Clara,132,2020-05-10T00:00:00
