county,totalcountdeaths,date
San Joaquin,2.0,2020-03-18T00:00:00
San Joaquin,2.0,2020-03-19T00:00:00
San Joaquin,2.0,2020-03-20T00:00:00
San Joaquin,2.0,2020-03-21T00:00:00
San Joaquin,2.0,2020-03-22T00:00:00
San Joaquin,2.0,2020-03-23T00:00:00
San Joaquin,2.0,2020-03-24T00:00:00
San Joaquin,2.0,2020-03-25T00:00:00
San Joaquin,3.0,2020-03-26T00:00:00
San Joaquin,3.0,2020-03-27T00:00:00
San Joaquin,4.0,2020-03-28T00:00:00
San Joaquin,4.0,2020-03-29T00:00:00
San Joaquin,5.0,2020-03-30T00:00:00
San Joaquin,7.0,2020-03-31T00:00:00
San Joaquin,8.0,2020-04-01T00:00:00
San Joaquin,9.0,2020-04-02T00:00:00
San Joaquin,10.0,2020-04-03T00:00:00
San Joaquin,10.0,2020-04-04T00:00:00
San Joaquin,10.0,2020-04-05T00:00:00
San Joaquin,10.0,2020-04-06T00:00:00
San Joaquin,12.0,2020-04-07T00:00:00
San Joaquin,12.0,2020-04-08T00:00:00
San Joaquin,14.0,2020-04-09T00:00:00
San Joaquin,14.0,2020-04-10T00:00:00
San Joaquin,15.0,2020-04-11T00:00:00
San Joaquin,15.0,2020-04-12T00:00:00
San Joaquin,17.0,2020-04-13T00:00:00
San Joaquin,17.0,2020-04-14T00:00:00
San Joaquin,17.0,2020-04-15T00:00:00
San Joaquin,17.0,2020-04-16T00:00:00
San Joaquin,17.0,2020-04-17T00:00:00
San Joaquin,17.0,2020-04-18T00:00:00
San Joaquin,17.0,2020-04-19T00:00:00
San Joaquin,17.0,2020-04-20T00:00:00
San Joaquin,20.0,2020-04-21T00:00:00
San Joaquin,20.0,2020-04-22T00:00:00
San Joaquin,22.0,2020-04-23T00:00:00
San Joaquin,24.0,2020-04-24T00:00:00
San Joaquin,25.0,2020-04-25T00:00:00
San Joaquin,25.0,2020-04-26T00:00:00
San Joaquin,25.0,2020-04-27T00:00:00
San Joaquin,25.0,2020-04-28T00:00:00
San Joaquin,25.0,2020-04-29T00:00:00
San Joaquin,25.0,2020-04-30T00:00:00
San Joaquin,25.0,2020-05-01T00:00:00
San Joaquin,25.0,2020-05-02T00:00:00
San Joaquin,26.0,2020-05-03T00:00:00
San Joaquin,26.0,2020-05-04T00:00:00
San Joaquin,26.0,2020-05-05T00:00:00
San Joaquin,27.0,2020-05-06T00:00:00
San Joaquin,28.0,2020-05-07T00:00:00
San Joaquin,28.0,2020-05-08T00:00:00
San Joaquin,28.0,2020-05-09T00:00:00
San Joaquin,29.0,2020-05-10T00:00:00
San Joaquin,29.0,2020-05-11T00:00:00
San Joaquin,30.0,2020-05-12T00:00:00
San Joaquin,31.0,2020-05-13T00:00:00
San Joaquin,31.0,2020-05-14T00:00:00
San Joaquin,31.0,2020-05-15T00:00:00
San Joaquin,32.0,2020-05-16T00:00:00
San Joaquin,32.0,2020-05-17T00:00:00
San Joaquin,32.0,2020-05-18T00:00:00
San Joaquin,33.0,2020-05-19T00:00:00
San Joaquin,33.0,2020-05-20T00:00:00
San Joaquin,33.0,2020-05-21T00:00:00
San Joaquin,33.0,2020-05-22T00:00:00
San Joaquin,33.0,2020-05-23T00:00:00
San Joaquin,33.0,2020-05-24T00:00:00
San Joaquin,33.0,2020-05-25T00:00:00
San Joaquin,33.0,2020-05-26T00:00:00
San Joaquin,34.0,2020-05-27T00:00:00
San Joaquin,35.0,2020-05-28T00:00:00
San Joaquin,35.0,2020-05-29T00:00:00
San Joaquin,35.0,2020-05-30T00:00:00
San Joaquin,35.0,2020-05-31T00:00:00
San Joaquin,35.0,2020-06-01T00:00:00
