date,RtIndicator
2020-03-03,2.0062282933
2020-03-04,2.0110125627
2020-03-05,2.0150476527
2020-03-06,2.0184962416
2020-03-07,2.020591369
2020-03-08,2.0216298763
2020-03-09,2.0215738926
2020-03-10,2.0198648386
2020-03-11,2.0164383077
2020-03-12,2.0111253527
2020-03-13,2.0020293799
2020-03-14,1.9914839833
2020-03-15,1.9782787082
2020-03-16,1.961678986
2020-03-17,1.9414364208
2020-03-18,1.918047737
2020-03-19,1.8910764532
2020-03-20,1.8615901858
2020-03-21,1.8288277104
2020-03-22,1.7933860806
2020-03-23,1.7554847997
2020-03-24,1.7155895843
2020-03-25,1.6739809499
2020-03-26,1.6306876966
2020-03-27,1.5863995783
2020-03-28,1.5416549416
2020-03-29,1.4963851436
2020-03-30,1.4511045363
2020-03-31,1.4068427979
2020-04-01,1.3644556962
2020-04-02,1.3241269934
2020-04-03,1.2861402363
2020-04-04,1.2510072976
2020-04-05,1.2187005009
2020-04-06,1.189622453
2020-04-07,1.1642920201
2020-04-08,1.142674302
2020-04-09,1.1247435949
2020-04-10,1.1105874468
2020-04-11,1.0997279681
2020-04-12,1.0918653842
2020-04-13,1.0866199072
2020-04-14,1.0835207079
2020-04-15,1.0823540151
2020-04-16,1.0827737643
2020-04-17,1.0843151937
2020-04-18,1.0860971401
2020-04-19,1.0877546674
2020-04-20,1.0892695795
2020-04-21,1.0900558001
2020-04-22,1.0902682507
2020-04-23,1.0898246776
2020-04-24,1.0884043881
2020-04-25,1.0859734785
2020-04-26,1.0824671782
2020-04-27,1.0781383941
2020-04-28,1.073164971
2020-04-29,1.0680382799
2020-04-30,1.0627611016
2020-05-01,1.0576512107
2020-05-02,1.0524487713
2020-05-03,1.0476237264
2020-05-04,1.0432599468
2020-05-05,1.039667892
2020-05-06,1.0369709656
2020-05-07,1.0351813629
2020-05-08,1.0344902091
2020-05-09,1.0346933821
2020-05-10,1.0361938777
2020-05-11,1.0386987016
2020-05-12,1.0421981957
2020-05-13,1.0467775505
2020-05-14,1.0521249063
2020-05-15,1.0582636542
2020-05-16,1.0650652985
2020-05-17,1.071883107
2020-05-18,1.0786603331
2020-05-19,1.0853174434
2020-05-20,1.0914596212
2020-05-21,1.0972762619
2020-05-22,1.1022412943
2020-05-23,1.1062364319
2020-05-24,1.1088671162
2020-05-25,1.1103960562
2020-05-26,1.1108733605
2020-05-27,1.1104018169
2020-05-28,1.1090790542
2020-05-29,1.1070433909
2020-05-30,1.1043846372
2020-05-31,1.1015150495
2020-06-01,1.0987989512
2020-06-02,1.0965316524
2020-06-03,1.0946881425
2020-06-04,1.0936553673
2020-06-05,1.0937882235
2020-06-06,1.0950445922
2020-06-07,1.0976572048
2020-06-08,1.1016382749
2020-06-09,1.1068313208
2020-06-10,1.1132160066
2020-06-11,1.1209897329
2020-06-12,1.129831682
2020-06-13,1.1393995257
2020-06-14,1.1496409652
2020-06-15,1.1599923287
2020-06-16,1.1701827416
2020-06-17,1.1799246747
2020-06-18,1.189056086
2020-06-19,1.1971132482
2020-06-20,1.2036989632
2020-06-21,1.2087431966
2020-06-22,1.2120228418
2020-06-23,1.2133575962
2020-06-24,1.2126721696
2020-06-25,1.2113629984
2020-06-26,1.2085284856
2020-06-27,1.204230738
2020-06-28,1.1990123441
2020-06-29,1.1929226727
2020-06-30,1.1861972705
2020-07-01,1.1792103405
2020-07-02,1.1719541377
2020-07-03,1.1647650611
2020-07-04,1.157540175
2020-07-05,1.150566634
2020-07-06,1.1436145799
2020-07-07,null
2020-07-08,null
2020-07-09,null
2020-07-10,null
2020-07-11,null
2020-07-12,null
2020-07-13,null
2020-07-14,null
2020-07-15,1.02
2020-07-16,1.02
2020-07-17,1.02
2020-07-18,1.02
2020-07-19,1.01
2020-07-20,1.01
2020-07-21,1
2020-07-22,0.99
2020-07-23,0.98
2020-07-24,0.97
2020-07-25,0.97
2020-07-26,0.96
2020-07-27,0.96
2020-07-28,0.95
2020-07-29,0.94
2020-07-30,0.93
2020-07-31,0.92
2020-08-01,0.91
2020-08-02,0.91
2020-08-03,0.91
2020-08-04,0.91
2020-08-05,0.92
2020-08-06,0.92
2020-08-07,0.92
2020-08-08,0.92
2020-08-09,0.92
2020-08-10,0.92
2020-08-11,0.92
2020-08-12,0.92
2020-08-13,0.92
2020-08-14,0.92
2020-08-15,0.91
2020-08-16,0.9
2020-08-17,0.89
2020-08-18,0.89
2020-08-19,0.88
2020-08-20,0.88
2020-08-21,0.88
2020-08-22,0.87
2020-08-23,0.87
2020-08-24,0.87
2020-08-25,0.87
2020-08-26,0.87
2020-08-27,0.87
2020-08-28,0.87
2020-08-29,0.87
2020-08-30,0.88
2020-08-31,0.89
2020-09-01,0.9
2020-09-02,0.89
2020-09-03,0.88
2020-09-04,0.87
2020-09-05,0.87
2020-09-06,0.87
2020-09-07,0.87
2020-09-08,0.88
2020-09-09,0.88
2020-09-10,0.89
2020-09-11,0.9
2020-09-12,0.91
2020-09-13,0.92
2020-09-14,0.92
2020-09-15,0.93
2020-09-16,0.93
2020-09-17,0.94
2020-09-18,0.95
2020-09-19,0.95
2020-09-20,0.96
2020-09-21,0.96
2020-09-22,0.96
2020-09-23,0.95
2020-09-24,0.95
2020-09-25,0.94
2020-09-26,0.94
2020-09-27,0.95
2020-09-28,0.94
2020-09-29,0.94
2020-09-30,0.94
2020-10-01,0.93
