R-Effective Model and Ensemble Time Series,,,,,,,,,,,
COVID Assessment Tool - Downloaded on 2020-10-02,,,,,,,,,,,
Date,rt.live,CovidActNow,EpiForecasts,covid19-projections.com,UCLA,ICL,Stanford,UCSF,covidestim.org,Harvard,Ensemble
2020-07-15,0.96,1.06,1,0.98,1.07,1.09,0.97,1.09,0.98,1.07,1.02
2020-07-16,0.96,1.05,1,0.97,1.06,1.09,0.96,1.08,0.99,1.03,1.02
2020-07-17,0.96,1.04,1,0.96,1.04,1.09,0.95,1.07,1,1.08,1.02
2020-07-18,0.96,1.03,1,0.96,1.03,1.18,0.95,1.06,1,1.06,1.02
2020-07-19,0.96,1.02,1,0.95,1.01,1.22,0.94,1.05,1,1.06,1.01
2020-07-20,0.96,1.01,NA,0.95,1,1.14,0.93,1.04,1.01,1.03,1.01
2020-07-21,0.96,1,NA,0.94,0.98,NA,0.93,1.03,1.01,1.02,1
2020-07-22,0.97,0.99,NA,0.94,0.97,NA,0.92,1.02,1.01,0.94,0.99
2020-07-23,0.97,0.98,NA,0.94,0.96,NA,0.92,1.01,1,0.97,0.98
2020-07-24,0.97,0.97,NA,0.93,0.95,NA,0.92,1,0.99,1.01,0.97
2020-07-25,0.97,0.96,NA,0.93,0.94,NA,0.91,0.99,0.98,0.99,0.97
2020-07-26,0.97,0.95,NA,0.93,0.93,NA,0.91,0.98,0.96,0.96,0.96
2020-07-27,0.97,0.95,NA,0.93,0.92,NA,0.91,0.97,0.94,0.96,0.96
2020-07-28,0.97,0.95,NA,0.93,0.91,NA,0.9,0.97,0.92,0.97,0.95
2020-07-29,0.97,0.94,NA,0.93,0.9,NA,0.9,0.97,0.91,0.96,0.94
2020-07-30,0.96,0.94,NA,0.93,0.9,NA,0.9,0.97,0.89,0.92,0.93
2020-07-31,0.96,0.95,NA,0.92,0.89,NA,0.9,0.97,0.87,0.76,0.92
2020-08-01,0.95,0.95,NA,0.92,0.88,NA,0.89,0.97,0.86,0.85,0.91
2020-08-02,0.95,0.96,NA,0.92,0.88,NA,0.89,0.97,0.86,0.84,0.91
2020-08-03,0.94,0.96,NA,0.92,0.87,NA,0.89,0.98,0.84,0.89,0.91
2020-08-04,0.93,0.97,NA,0.92,0.87,NA,0.89,0.98,0.84,0.91,0.91
2020-08-05,0.93,0.97,NA,0.92,0.86,NA,0.89,0.98,0.84,1.12,0.92
2020-08-06,0.92,0.98,NA,0.92,0.85,NA,0.88,0.98,0.84,0.99,0.92
2020-08-07,0.92,0.98,NA,0.92,0.85,NA,0.88,0.98,0.84,1.15,0.92
2020-08-08,0.91,0.98,NA,0.92,NA,NA,0.88,0.98,0.85,1.04,0.92
2020-08-09,0.91,0.98,NA,0.92,NA,NA,0.88,0.97,0.85,1.2,0.92
2020-08-10,0.9,0.98,NA,0.92,NA,NA,0.88,0.96,0.85,1.11,0.92
2020-08-11,0.9,0.97,NA,0.92,NA,NA,0.88,0.95,0.86,1.09,0.92
2020-08-12,0.9,0.97,NA,0.92,NA,NA,0.88,0.94,0.87,0.92,0.92
2020-08-13,0.9,0.96,NA,0.92,NA,NA,0.87,0.92,0.89,1,0.92
2020-08-14,0.89,0.95,NA,0.92,NA,NA,0.87,0.91,0.9,0.95,0.92
2020-08-15,0.89,0.93,NA,0.92,NA,NA,0.87,0.9,0.9,0.93,0.91
2020-08-16,0.88,0.92,NA,0.92,NA,NA,0.87,0.89,0.9,0.8,0.9
2020-08-17,0.88,0.91,NA,0.92,NA,NA,0.87,0.88,0.91,0.84,0.89
2020-08-18,0.88,0.9,NA,0.92,NA,NA,0.87,0.88,0.92,0.86,0.89
2020-08-19,0.88,0.89,NA,0.92,NA,NA,0.87,0.87,0.92,0.9,0.88
2020-08-20,0.88,0.88,NA,0.92,NA,NA,0.87,0.87,0.93,0.85,0.88
2020-08-21,0.88,0.87,NA,0.92,NA,NA,0.87,0.86,0.92,0.81,0.88
2020-08-22,0.89,0.87,NA,0.92,NA,NA,0.87,0.86,0.93,0.84,0.87
2020-08-23,0.89,0.86,NA,0.92,NA,NA,0.87,0.86,0.94,0.84,0.87
2020-08-24,0.89,0.86,NA,0.92,NA,NA,0.87,0.85,0.95,0.85,0.87
2020-08-25,0.89,0.86,NA,0.92,NA,NA,0.86,0.85,0.96,0.85,0.87
2020-08-26,0.89,0.86,NA,0.92,NA,NA,0.86,0.85,0.97,0.88,0.87
2020-08-27,0.9,0.86,NA,0.93,NA,NA,0.86,0.85,0.97,0.85,0.87
2020-08-28,0.9,0.86,NA,0.93,NA,NA,0.86,0.85,0.98,0.86,0.87
2020-08-29,0.9,0.86,NA,0.93,NA,NA,0.86,0.85,0.98,0.88,0.87
2020-08-30,0.9,0.86,NA,0.93,NA,NA,0.86,0.85,0.99,0.88,0.88
2020-08-31,0.9,0.86,NA,0.93,NA,NA,0.86,0.84,1,0.9,0.89
2020-09-01,0.91,0.86,NA,0.93,NA,NA,0.86,0.84,1,0.91,0.9
2020-09-02,0.91,0.87,NA,0.93,NA,NA,0.86,0.84,1,0.8,0.89
2020-09-03,0.91,0.87,NA,0.93,NA,NA,0.86,0.85,1.01,0.84,0.88
2020-09-04,0.91,0.87,NA,0.93,NA,NA,0.86,0.85,1.01,0.78,0.87
2020-09-05,0.92,0.87,NA,0.93,NA,NA,0.86,0.85,1.01,0.78,0.87
2020-09-06,0.92,0.87,NA,0.93,NA,NA,0.86,0.86,1.01,0.8,0.87
2020-09-07,0.92,0.88,NA,0.93,NA,NA,0.86,0.87,1.01,0.81,0.87
2020-09-08,0.92,0.88,NA,0.93,NA,NA,0.86,0.87,1.02,0.81,0.88
2020-09-09,0.92,0.89,NA,0.93,NA,NA,0.86,0.88,1.01,0.89,0.88
2020-09-10,0.92,0.89,NA,0.93,NA,NA,0.86,0.89,1.01,0.9,0.89
2020-09-11,0.92,0.9,NA,0.93,NA,NA,0.86,0.9,1.01,0.92,0.9
2020-09-12,0.92,0.91,NA,0.93,NA,NA,0.86,0.91,1.01,0.93,0.91
2020-09-13,0.92,0.92,NA,0.93,NA,NA,0.86,0.92,1.02,0.96,0.92
2020-09-14,0.92,0.93,NA,0.93,NA,NA,0.85,0.93,1.02,0.96,0.92
2020-09-15,0.92,0.93,NA,0.93,NA,NA,0.85,0.94,1.02,0.97,0.93
2020-09-16,0.92,0.94,NA,0.94,NA,NA,0.85,0.94,1.03,0.99,0.93
2020-09-17,0.92,0.95,NA,0.94,NA,NA,0.85,0.95,1.03,0.99,0.94
2020-09-18,0.92,0.95,NA,0.94,NA,NA,0.85,0.95,1.04,1,0.95
2020-09-19,0.92,0.96,NA,0.94,NA,NA,0.85,0.96,1.04,0.97,0.95
2020-09-20,0.92,0.96,NA,0.94,NA,NA,0.85,0.96,1.05,0.97,0.96
2020-09-21,0.92,0.96,NA,0.94,NA,NA,0.85,0.96,1.06,0.97,0.96
2020-09-22,0.92,0.96,NA,0.94,NA,NA,0.85,0.96,1.05,0.96,0.96
2020-09-23,0.92,0.96,NA,0.94,NA,NA,0.85,0.96,1.04,0.92,0.95
2020-09-24,0.92,0.96,NA,0.94,NA,NA,0.85,0.96,1.06,0.94,0.95
2020-09-25,0.92,0.96,NA,0.94,NA,NA,0.85,0.96,1.05,0.95,0.94
2020-09-26,0.92,0.96,NA,0.94,NA,NA,0.85,0.96,NA,NA,0.94
2020-09-27,0.93,0.96,NA,0.94,NA,NA,0.85,0.95,NA,NA,0.95
2020-09-28,0.92,0.96,NA,0.94,NA,NA,0.85,0.95,NA,NA,0.94
2020-09-29,0.92,0.95,NA,0.94,NA,NA,0.85,0.94,NA,NA,0.94
2020-09-30,0.93,0.95,NA,0.94,NA,NA,0.85,NA,NA,NA,0.94
2020-10-01,NA,NA,NA,0.95,NA,NA,0.85,NA,NA,NA,0.93
Please see the Technical Notes tab of the application for data sources.,,,,,,,,,,,
Prepared by: California Department of Public Health - COVID Modeling Team,,,,,,,,,,,
