R-Effective County Model Time Series for Los Angeles,,,,,,,,,
COVID Assessment Tool - Downloaded on 2020-08-27,,,,,,,,,
Date,CovidActNow,covid19-projections.com,UCLA,LEMMA,JHU,Stanford,UCSF,Harvard,Ensemble
2020-01-26,0,0,0,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0,0,0,0
2020-01-31,0,0,0,0,2.82,0,0,0,0
2020-02-01,0,0,0,0,2.82,0,0,0,0
2020-02-02,0,0,0,0,2.82,0,0,0,2.82
2020-02-03,0,0,0,0,2.82,0,0,0,2.82
2020-02-04,0,0,0,0,2.82,0,0,0,2.82
2020-02-05,0,0,0,0,2.82,0,0,0,2.82
2020-02-06,0,0,0,0,2.82,0,0,0,2.82
2020-02-07,0,0,0,0,2.82,0,0,0,2.82
2020-02-08,0,0,0,0,2.82,1.84,0,0,2.66
2020-02-09,0,0,0,0,2.82,1.84,0,0,2.5
2020-02-10,0,0,0,0,2.82,1.84,0,0,2.33
2020-02-11,0,0,0,0,2.82,1.84,0,0,2.33
2020-02-12,0,0,0,0,2.82,1.84,0,0,2.33
2020-02-13,0,0,0,0,2.82,1.84,0,0,2.33
2020-02-14,0,0,0,0,2.82,1.84,0,0,2.33
2020-02-15,0,0,0,0,2.82,1.84,0,0,2.33
2020-02-16,0,2.37,0,0,2.82,1.84,0,0,2.34
2020-02-17,0,2.37,0,0,2.82,1.84,0,0,2.36
2020-02-18,0,2.37,0,0,2.82,1.84,0,0,2.37
2020-02-19,0,2.37,0,0,2.82,1.84,0,0,2.37
2020-02-20,0,2.37,0,0,2.82,1.84,0,0,2.37
2020-02-21,0,2.37,0,0,2.82,1.84,0,0,2.37
2020-02-22,0,2.37,0,0,2.82,1.84,0,0,2.37
2020-02-23,0,2.36,0,0,2.82,1.84,0,0,2.37
2020-02-24,0,2.36,0,0,2.82,1.84,0,0,2.36
2020-02-25,0,2.36,0,0,2.82,1.84,0,0,2.36
2020-02-26,0,2.36,0,0,2.82,1.84,0,0,2.36
2020-02-27,0,2.35,0,0,2.82,1.84,0,0,2.36
2020-02-28,0,2.35,0,0,2.82,1.84,0,0,2.35
2020-02-29,0,2.34,0,0,2.82,1.84,0,0,2.35
