R-Effective County Model Time Series for Ventura,,,,,,,
COVID Assessment Tool - Downloaded on 2020-08-27,,,,,,,
Date,CovidActNow,LEMMA,JHU,Stanford,UCSF,Harvard,Ensemble
2020-01-31,0,0,2.48,0,0,0,0
2020-02-01,0,0,2.48,0,0,0,0
2020-02-02,0,0,2.48,0,0,0,2.48
2020-02-03,0,0,2.48,0,0,0,2.48
2020-02-04,0,0,2.48,0,0,0,2.48
2020-02-05,0,0,2.48,0,0,0,2.48
2020-02-06,0,0,2.48,0,0,0,2.48
2020-02-07,0,0,2.48,0,0,0,2.48
2020-02-08,0,0,2.48,0,0,0,2.48
2020-02-09,0,0,2.48,0,0,0,2.48
2020-02-10,0,0,2.48,0,0,0,2.48
2020-02-11,0,0,2.48,0,0,0,2.48
2020-02-12,0,0,2.48,0,0,0,2.48
2020-02-13,0,0,2.48,0,0,0,2.48
2020-02-14,0,0,2.48,0,0,0,2.48
2020-02-15,0,0,2.48,0,0,0,2.48
2020-02-16,0,0,2.48,0,0,0,2.48
2020-02-17,0,0,2.48,0,0,0,2.48
2020-02-18,0,0,2.48,0,0,0,2.48
2020-02-19,0,0,2.48,0,0,0,2.48
2020-02-20,0,0,2.48,0,0,0,2.48
2020-02-21,0,0,2.48,0,0,0,2.48
2020-02-22,0,0,2.48,0,0,0,2.48
2020-02-23,0,0,2.48,0,0,0,2.48
2020-02-24,0,0,2.48,0,0,0,2.48
2020-02-25,0,0,2.48,0,0,0,2.48
2020-02-26,0,0,2.48,0,0,0,2.48
2020-02-27,0,0,2.48,0,0,0,2.48
2020-02-28,0,0,2.48,0,0,0,2.48
2020-02-29,0,0,2.48,0,0,0,2.48
2020-03-01,0,0,2.48,0,0,0,2.48
2020-03-02,0,0,2.48,0,0,0,2.48
2020-03-03,0,0,2.48,1.91,0,0,2.39
2020-03-04,0,0,2.48,1.91,0,0,2.29
2020-03-05,0,0,2.48,1.91,0,0,2.2
2020-03-06,0,0,2.48,1.92,0,0,2.2
2020-03-07,0,0,2.48,1.92,0,0,2.2
2020-03-08,0,0,2.48,1.92,0,0,2.2
2020-03-09,0,0,2.48,1.92,0,0,2.2
2020-03-10,0,0,2.48,1.92,0.92,0,2.11
2020-03-11,1.66,0,2.48,1.92,0.94,0,1.97
2020-03-12,1.67,0,2.48,1.92,0,0,1.88
2020-03-13,1.67,0,1.92,1.92,1.07,0,1.83
2020-03-14,1.67,0,1.92,1.91,0,0,1.87
2020-03-15,1.67,1.37,1.92,1.89,0,0,1.83
2020-03-16,1.66,1.31,1.92,1.84,0,0,1.81
2020-03-17,1.66,1.25,1.92,1.75,1.29,0,1.73
2020-03-18,1.65,1.17,1.92,1.62,1.33,0,1.68
2020-03-19,1.64,1.08,1.92,1.45,1.37,0,1.57
2020-03-20,1.62,1.01,1.1,1.29,0,0,1.42
2020-03-21,1.6,0.97,1.1,1.17,1.42,0,1.27
2020-03-22,1.57,0.95,1.1,1.09,1.44,0,1.15
2020-03-23,1.54,0.93,1.1,1.03,1.45,2.09,1.18
2020-03-24,1.51,0.93,1.1,1,1.45,1.87,1.22
2020-03-25,1.47,0.92,1.1,0.98,1.44,1.83,1.27
2020-03-26,1.43,0.92,1.1,0.97,1.43,1.91,1.27
2020-03-27,1.39,0.92,1.1,0.96,1.41,1.62,1.26
2020-03-28,1.34,0.92,1.1,0.95,1.38,1.52,1.24
2020-03-29,1.3,0.92,1.1,0.95,1.35,1.27,1.21
2020-03-30,1.25,0.92,1.1,0.95,1.32,1.19,1.18
2020-03-31,1.21,0.92,1.1,0.94,1.29,1.24,1.16
2020-04-01,1.17,0.92,1.1,0.94,1.26,1.07,1.13
2020-04-02,1.13,0.92,1.1,0.94,1.23,0.99,1.09
