R-Effective County Model Time Series for San Mateo,,,,,,,,
COVID Assessment Tool - Downloaded on 2020-08-27,,,,,,,,
Date,CovidActNow,UCLA,LEMMA,JHU,Stanford,UCSF,Harvard,Ensemble
2020-01-31,0,0,0,2.34,0,0,0,0
2020-02-01,0,0,0,2.34,0,0,0,0
2020-02-02,0,0,0,2.34,0,0,0,2.34
2020-02-03,0,0,0,2.34,0,0,0,2.34
2020-02-04,0,0,0,2.34,0,0,0,2.34
2020-02-05,0,0,0,2.34,0,0,0,2.34
2020-02-06,0,0,0,2.34,0,0,0,2.34
2020-02-07,0,0,0,2.34,0,0,0,2.34
2020-02-08,0,0,0,2.34,0,0,0,2.34
2020-02-09,0,0,0,2.34,0,0,0,2.34
2020-02-10,0,0,0,2.34,0,0,0,2.34
2020-02-11,0,0,0,2.34,0,0,0,2.34
2020-02-12,0,0,0,2.34,0,0,0,2.34
2020-02-13,0,0,0,2.34,0,0,0,2.34
2020-02-14,0,0,0,2.34,0,0,0,2.34
2020-02-15,0,0,0,2.34,0,0,0,2.34
2020-02-16,0,0,0,2.34,0,0,0,2.34
2020-02-17,0,0,0,2.34,0,0,0,2.34
2020-02-18,0,0,0,2.34,0,0,0,2.34
2020-02-19,0,0,0,2.34,0,0,0,2.34
2020-02-20,0,0,0,2.34,0,0,0,2.34
2020-02-21,0,0,0,2.34,0,0,0,2.34
2020-02-22,0,0,0,2.34,0,0,0,2.34
2020-02-23,0,0,0,2.34,0,0,0,2.34
2020-02-24,0,0,0,2.34,0,0,0,2.34
2020-02-25,0,0,0,2.34,0,0,0,2.34
2020-02-26,0,0,0,2.34,0,0,0,2.34
2020-02-27,0,0,0,2.34,0,0,0,2.34
2020-02-28,0,0,0,2.34,2.43,0,0,2.36
2020-02-29,0,0,0,2.34,2.43,0,0,2.37
2020-03-01,0,0,0,2.34,2.43,0,0,2.39
2020-03-02,0,0,0,2.34,2.43,0,0,2.39
2020-03-03,0,0,0,2.34,2.42,0,0,2.39
2020-03-04,1.78,0,0,2.34,2.42,0,0,2.37
2020-03-05,1.78,0,0,2.34,2.41,0,0,2.36
2020-03-06,1.78,0,0,2.34,2.41,0,0,2.34
2020-03-07,1.77,0,0,2.34,2.41,0,0,2.34
2020-03-08,1.76,0,0,2.34,2.4,0,0,2.34
2020-03-09,1.75,0,0,2.34,2.4,0,0,2.34
2020-03-10,1.74,0,0,2.34,2.38,0,0,2.34
2020-03-11,1.72,0,0,2.34,2.35,1.26,0,2.24
2020-03-12,1.7,0,0,2.34,2.28,1.3,0,2.12
2020-03-13,1.68,0,0,1.82,2.15,0,0,1.95
2020-03-14,1.65,0,0,1.82,1.96,1.35,0,1.85
2020-03-15,1.62,0,1.37,1.82,1.72,0,1.89,1.76
2020-03-16,1.6,0,1.27,1.82,1.5,1.38,1.58,1.66
2020-03-17,1.57,0,1.18,1.82,1.33,1.39,1.54,1.57
